AU,Age,Yield,Height,DBHq,TPH
21000,0.0,0.0,0.0,0.0,0
21000,10.0,0.0,3.0,0.8,797
21000,20.0,1.3,8.1,8.2,769
21000,30.0,67.6,13.4,17.4,756
21000,40.0,175.7,18.2,23.4,751
21000,50.0,293.3,22.3,27.2,747
21000,60.0,406.2,25.7,29.9,736
21000,70.0,511.8,28.6,32.2,722
21000,80.0,603.8,31.1,34.1,706
21000,90.0,688.3,33.1,35.8,686
21000,100.0,768.9,34.9,37.4,664
21000,110.0,840.4,36.4,39.0,639
21000,120.0,906.9,37.7,40.3,621
21000,130.0,968.1,38.9,41.6,602
21000,140.0,1024.9,39.9,42.8,583
21000,150.0,1024.9,39.9,42.8,583
21000,160.0,1024.9,39.9,42.8,583
21000,170.0,1024.9,39.9,42.8,583
21000,180.0,1024.9,39.9,42.8,583
21000,190.0,1024.9,39.9,42.8,583
21000,200.0,1024.9,39.9,42.8,583
21000,210.0,1024.9,39.9,42.8,583
21000,220.0,1024.9,39.9,42.8,583
21000,230.0,1024.9,39.9,42.8,583
21000,240.0,1024.9,39.9,42.8,583
21000,250.0,1024.9,39.9,42.8,583
21000,260.0,1024.9,39.9,42.8,583
21000,270.0,1024.9,39.9,42.8,583
21000,280.0,1024.9,39.9,42.8,583
21000,290.0,1024.9,39.9,42.8,583
21000,300.0,1024.9,39.9,42.8,583
21000,310.0,1024.9,39.9,42.8,583
21000,320.0,1024.9,39.9,42.8,583
21000,330.0,1024.9,39.9,42.8,583
21000,340.0,1024.9,39.9,42.8,583
21000,350.0,1024.9,39.9,42.8,583
21001,0.0,0.0,0.0,0.0,0
21001,10.0,0.0,2.9,1.1,677
21001,20.0,1.8,8.0,8.7,642
21001,30.0,39.1,12.9,15.8,626
21001,40.0,101.9,17.3,20.8,622
21001,50.0,171.2,21.2,24.2,619
21001,60.0,244.6,24.5,27.0,614
21001,70.0,316.3,27.4,29.2,608
21001,80.0,379.9,29.9,31.0,600
21001,90.0,444.2,32.0,32.6,591
21001,100.0,502.6,33.8,34.0,581
21001,110.0,556.2,35.5,35.3,570
21001,120.0,605.8,37.0,36.4,559
21001,130.0,652.3,38.3,37.5,550
21001,140.0,694.1,39.4,38.4,538
21001,150.0,732.0,40.4,39.4,524
21001,160.0,766.4,41.3,40.3,510
21001,170.0,766.4,41.3,40.3,510
21001,180.0,766.4,41.3,40.3,510
21001,190.0,766.4,41.3,40.3,510
21001,200.0,766.4,41.3,40.3,510
21001,210.0,766.4,41.3,40.3,510
21001,220.0,766.4,41.3,40.3,510
21001,230.0,766.4,41.3,40.3,510
21001,240.0,766.4,41.3,40.3,510
21001,250.0,766.4,41.3,40.3,510
21001,260.0,766.4,41.3,40.3,510
21001,270.0,766.4,41.3,40.3,510
21001,280.0,766.4,41.3,40.3,510
21001,290.0,766.4,41.3,40.3,510
21001,300.0,766.4,41.3,40.3,510
21001,310.0,766.4,41.3,40.3,510
21001,320.0,766.4,41.3,40.3,510
21001,330.0,766.4,41.3,40.3,510
21001,340.0,766.4,41.3,40.3,510
21001,350.0,766.4,41.3,40.3,510
21003,0.0,0.0,0.0,0.0,0
21003,10.0,0.0,1.8,0.2,645
21003,20.0,0.0,4.8,3.7,628
21003,30.0,1.3,8.2,8.3,614
21003,40.0,25.7,11.5,14.3,605
21003,50.0,72.1,14.6,19.1,600
21003,60.0,122.9,17.4,22.5,597
21003,70.0,175.4,19.9,25.0,593
21003,80.0,226.2,22.1,27.0,590
21003,90.0,271.6,24.0,28.5,585
21003,100.0,318.1,25.7,29.9,579
21003,110.0,360.0,27.2,31.1,572
21003,120.0,397.2,28.5,32.2,565
21003,130.0,428.7,29.6,33.0,559
21003,140.0,457.1,30.7,33.8,552
21003,150.0,485.5,31.6,34.5,544
21003,160.0,512.3,32.4,35.2,536
21003,170.0,536.0,33.2,35.9,528
21003,180.0,556.5,33.9,36.5,520
21003,190.0,574.7,34.5,37.0,513
21003,200.0,591.6,35.1,37.6,505
21003,210.0,607.4,35.6,38.1,497
21003,220.0,621.7,36.1,38.6,489
21003,230.0,634.8,36.5,39.0,482
21003,240.0,646.8,36.9,39.4,475
21003,250.0,657.3,37.3,39.8,469
21003,260.0,667.0,37.6,40.1,463
21003,270.0,676.0,37.9,40.4,457
21003,280.0,683.5,38.2,40.7,452
21003,290.0,690.3,38.5,41.0,447
21003,300.0,690.3,38.5,41.0,447
21003,310.0,690.3,38.5,41.0,447
21003,320.0,690.3,38.5,41.0,447
21003,330.0,690.3,38.5,41.0,447
21003,340.0,690.3,38.5,41.0,447
21003,350.0,690.3,38.5,41.0,447
22001,0.0,0.0,0.0,0.0,0
22001,10.0,0.0,4.1,3.4,831
22001,20.0,31.1,11.2,13.8,787
22001,30.0,143.0,17.8,21.4,777
22001,40.0,281.4,23.5,26.3,772
22001,50.0,429.2,28.3,29.9,761
22001,60.0,577.7,32.3,32.9,744
