BLOCK1,BLOCK2,DISTANCE,LENGTH
-9999,1,0.000,1639.753
-9999,2,0.000,756.050
-9999,3,133.558,0.000
-9999,4,0.000,192.755
-9999,5,0.000,904.456
-9999,6,43.846,0.000
-9999,7,0.000,7081.011
-9999,8,0.000,876.736
-9999,9,0.000,790.496
-9999,10,0.000,1473.654
-9999,11,0.000,509.169
-9999,12,0.000,95.214
-9999,13,0.000,218.368
-9999,14,0.000,3565.344
-9999,15,0.000,388.282
-9999,16,0.000,414.883
-9999,17,0.000,447.961
-9999,18,0.000,2070.047
-9999,19,0.000,449.336
-9999,20,0.000,665.358
-9999,21,0.000,5439.016
-9999,22,0.000,452.382
-9999,23,0.000,230.650
-9999,24,0.000,534.257
-9999,25,0.000,66.029
-9999,26,0.000,217.194
-9999,27,0.000,207.647
-9999,28,0.000,725.477
-9999,29,0.000,208.146
-9999,30,0.000,799.670
-9999,31,0.000,901.841
-9999,32,0.000,1641.048
-9999,33,0.000,336.861
-9999,34,0.000,611.548
-9999,35,0.000,653.779
-9999,36,136.592,0.000
-9999,37,0.000,185.725
-9999,38,0.000,2035.124
-9999,39,0.000,2311.162
-9999,40,0.000,370.219
-9999,41,73.685,0.000
-9999,42,0.000,698.647
-9999,43,0.000,387.548
-9999,44,0.000,588.317
-9999,45,0.000,423.092
-9999,46,0.000,919.471
-9999,47,0.000,701.038
-9999,48,0.000,106.436
-9999,49,0.000,1117.754
-9999,50,0.000,360.008
-9999,51,0.000,558.144
-9999,52,0.000,986.406
-9999,53,0.000,1603.781
-9999,54,0.000,1379.445
-9999,55,0.000,301.041
-9999,56,0.000,386.001
-9999,57,0.000,269.685
-9999,58,0.000,293.492
-9999,59,0.000,410.178
-9999,60,0.000,743.415
-9999,61,0.000,1631.775
-9999,62,0.000,795.713
-9999,63,0.000,1252.406
-9999,64,0.000,433.884
-9999,65,0.000,683.914
-9999,66,46.299,0.000
-9999,67,0.000,522.665
-9999,68,0.000,505.116
-9999,69,0.000,573.219
-9999,70,0.000,422.727
-9999,71,0.000,645.859
-9999,72,0.000,584.783
-9999,73,0.000,358.765
-9999,74,0.000,171.497
-9999,75,0.000,2056.575
-9999,76,0.000,140.374
-9999,77,0.000,474.617
-9999,78,0.000,545.432
-9999,79,0.000,750.023
-9999,80,0.000,711.728
-9999,81,0.000,69.295
-9999,82,0.000,1083.236
-9999,83,0.000,521.357
-9999,84,0.000,344.845
-9999,85,0.000,444.292
-9999,86,0.000,62.711
-9999,87,0.000,335.119
-9999,88,0.000,615.634
-9999,89,0.000,381.407
-9999,90,0.000,187.186
-9999,91,83.920,0.000
-9999,92,0.000,560.542
