CURVE,X,Y
689,0,0.00102
487,0,0.00102
363,0,0.0015
829,0,0.00153
568,0,0.00153
492,0,0.00153
342,0,0.00195
207,0,0.002
132,0,0.00195
114,0,0.00195
204,0,0.0022
129,0,0.00214
322,0,0.0024
791,0,0.00909
753,0,0.00955
208,0,0.0024
133,0,0.00234
115,0,0.00234
111,0,0.00214
127,0,0.00955
766,0,0.0125
224,0,0.01
209,0,0.01
202,0,0.0098
116,0,0.00974
109,0,0.00955
78,0,0.0015
67,0,0.0015
504,0,0.01643
577,0,0.01643
489,0,0.01643
76,0,0.0161
64,0,0.0161
62,0,0.001
503,0,0.02602
566,0,0.02602
488,0,0.02602
793,0,0.04546
632,0,0.04762
767,0,0.0625
605,0,0.05
223,0,0.036
205,0,0.036
34,0,0.01761
14,0,0.01761
794,0,0.07273
729,0,0.08333
667,0,0.08889
665,0,0.11111
647,0,0.125
177,0,0.09799
167,0,0.09799
130,0,0.09743
112,0,0.09743
30,0,0.06775
792,0,0.14546
633,0,0.14286
730,0,0.16667
666,0,0.17778
796,0,0.21818
631,0,0.2381
604,0,0.2
176,0,0.19598
166,0,0.19598
128,0,0.19486
110,0,0.19486
724,0,0.25
280,0,0.24498
769,0,0.3
360,0,0.3
360,1,0.3
360,299,89.7
277,0,0.3
277,1,0.3
277,299,89.7
199,0,0.3
199,1,0.3
199,299,89.7
66,0,0.24498
63,0,0.14699
33,0,0.1355
13,0,0.1355
723,0,0.35
681,0,0.37532
567,0,0.37532
490,0,0.37532
222,0,0.3656
203,0,0.3656
31,0,0.30488
32,0,0.47425
12,0,0.47425
11,0,0.30488
10,0,0.06775
795,0,0.50909
630,0,0.57143
603,0,0.55
421,0,0.572
731,0,0.58333
578,0,0.57815
491,0,0.57815
206,0,0.572
529,0,0.5
529,1,0.5
529,299,149.5
312,0,0.5
312,1,0.5
312,299,149.5
105,0,0.5
105,1,0.5
105,299,149.5
768,0,0.6125
754,0,0.682
668,0,0.62222
131,0,0.682
178,0,0.68593
168,0,0.68593
113,0,0.682
77,0,0.58794
65,0,0.58794
653,0,0.825
648,0,0.825
565,0,0.7
565,1,0.7
565,299,209.3
58,0,0.7
58,1,0.7
58,299,209.3
599,0,0.5
599,1,0.5
599,299,149.5
3,0,0.5
3,1,0.5
3,299,149.5
385,79,0
522,79,0
522,80,0.00102
527,79,0
527,80,0.00153
484,79,0
484,80,0.00195
481,79,0
481,80,0.00214
460,79,0
460,80,0.002
485,79,0
485,80,0.00234
809,79,0
809,80,0.00909
486,79,0
486,80,0.00974
479,79,0
479,80,0.00955
461,79,0
461,80,0.0024
457,79,0
457,80,0.0022
787,79,0
787,80,0.0125
462,79,0
462,80,0.01
455,79,0
455,80,0.0098
394,79,0
394,80,0.0015
524,79,0
524,80,0.01643
523,79,0
523,80,0.02602
811,79,0
811,80,0.04546
812,79,0
812,80,0.07273
788,79,0
788,80,0.0625
679,79,0
679,80,0.08889
663,79,0
663,80,0.05
482,79,0
482,80,0.09743
458,79,0
458,80,0.036
677,79,0
677,80,0.11111
810,79,0
810,80,0.14546
678,79,0
678,80,0.17778
662,79,0
662,80,0.125
480,79,0
480,80,0.19486
392,79,0
392,80,0.09799
391,79,0
391,80,0.0161
814,79,0
814,80,0.21818
790,79,0
790,80,0.3
813,79,0
813,80,0.50909
525,79,0
525,80,0.37532
526,79,0
526,80,0.57815
512,79,0
512,80,0.6
512,110,0.9
512,120,0.9
512,130,1
459,79,0
459,80,0.572
456,79,0
456,80,0.3656
390,79,0
390,80,0.19598
389,79,0
389,80,0.001
789,79,0
789,80,0.6125
680,79,0
680,80,0.62222
483,79,0
483,80,0.682
664,79,0
664,80,0.825
393,79,0
393,80,0.68593
528,79,0
528,80,1
519,79,0
519,80,1
519,100,1
519,101,0
476,79,0
476,80,1.1
476,90,1.3
476,100,1.4
476,110,1.6
476,130,1.8
473,79,0
473,80,1.2
473,100,1.6
473,110,1.7
473,120,1.9
473,130,2
449,79,0
449,80,1.2
449,90,1.3
449,100,1.5
449,120,1.7
449,130,1.9
471,79,0
471,80,5.5
471,90,6.3
471,110,7.7
471,130,8.9
477,79,0
477,80,1.4
477,90,1.6
477,100,1.7
477,110,1.9
477,120,2
477,130,2.2
450,79,0
450,80,1.4
450,100,1.8
450,110,1.9
450,120,2.1
450,130,2.2
446,79,0
446,80,1.3
446,90,1.5
446,100,1.6
446,110,1.8
446,130,2
803,79,0
803,80,8.3
803,90,9.5
803,100,10.5
452,79,0
452,80,5.8
452,100,7.4
452,110,8.1
452,130,9.3
478,79,0
478,80,5.7
478,90,6.5
478,110,7.9
478,120,8.5
478,130,9
444,79,0
444,80,5.7
444,90,6.5
444,110,7.9
444,130,9.1
395,79,0
395,80,1
386,79,0
386,80,1
386,100,1
386,101,0
517,79,0
517,80,0.9
517,90,1.1
517,140,1.6
383,79,0
383,80,0.9
383,90,1
383,100,1.2
383,130,1.5
780,79,0
780,80,11.5
780,100,14.5
514,79,0
514,80,9.9
514,90,11.3
514,100,12.6
514,110,13.8
514,120,14.9
514,130,15.9
514,140,16.8
513,79,0
513,80,15.7
513,90,17.9
513,100,20
513,110,21.9
513,120,23.6
513,130,25.2
513,140,26.7
805,79,0
805,80,41.7
805,90,47.3
805,100,52.7
675,79,0
675,80,44.8
675,90,51.1
675,100,57.1
675,110,62.4
675,120,67.3
675,130,71.9
675,140,76.1
673,79,0
673,80,56
673,90,63.9
673,100,71.4
673,110,78
673,120,84.2
673,130,89.8
673,140,95.1
659,79,0
659,80,25.2
659,90,28.7
659,100,32.1
659,110,35.1
659,120,37.9
659,130,40.4
659,140,42.8
781,79,0
781,80,57.4
781,90,65.1
781,100,72.5
474,79,0
474,80,56.6
474,90,64.6
474,100,71.9
474,110,78.6
474,120,84.8
474,130,90.5
447,79,0
447,80,20.9
447,90,23.9
447,100,26.6
447,110,29
447,120,31.3
447,130,33.4
806,79,0
806,80,66.7
806,90,75.7
806,100,84.4
674,79,0
674,80,89.6
674,90,102.2
674,100,114.2
674,110,124.8
674,120,134.6
674,130,143.7
674,140,152.2
658,79,0
658,80,63
658,90,71.9
658,100,80.3
658,110,87.7
658,120,94.7
658,130,101.1
658,140,107
472,79,0
472,80,113.3
472,90,129.3
472,100,143.8
472,110,157.2
472,120,169.7
472,130,180.9
381,79,0
381,80,59.2
381,90,67.4
