TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
1,100,756,CC,false,1,A,0,0,,0,
2,70,756,CC,false,2,A,0,0,,0,
3,90,756,CC,false,3,A,0,0,,0,
4,70,756,CC,false,4,A,0,0,,0,
5,100,756,CC,false,5,A,0,0,,0,
6,90,756,CC,false,6,A,0,0,,0,
7,100,756,CC,false,7,A,0,0,,0,
8,80,756,CC,false,8,A,0,0,,0,
9,70,756,CC,false,9,A,0,0,,0,
10,80,756,CC,false,10,A,0,0,,0,
11,190,756,CC,false,11,A,0,0,,0,
12,80,756,CC,false,12,A,0,0,,0,
13,0,756,CC,false,13,A,0,0,,0,
14,80,756,CC,false,14,A,0,0,,0,
