CURVE,X,Y
283,0,0.1
1250,0,0.13
478,0,0.13
416,0,0.15
1441,0,0.17
1021,0,0.18
423,0,0.15
185,0,0.18
1824,0,0.19
597,0,0.19
591,0,0.19
282,0,0.2
179,0,0.18
40,0,0.15
17,0,0.1
709,0,0.21
681,0,0.23
1165,0,0.25
1047,0,0.23
515,0,0.23
1439,0,0.26
905,0,0.3
3626,0,0.32
1656,0,0.32
1440,0,0.34
1430,0,0.39
900,0,0.3
708,0,0.28
1271,0,0.39
707,0,0.51
417,0,0.6
268,0,0.39
42,0,0.25
845,0,0.61
424,0,0.6
3625,0,0.68
1655,0,0.68
1425,0,0.61
269,0,0.61
142,0,0.7
41,0,0.6
18,0,0.2
11,0,0.2
2261,0,0.8
1052,0,0.77
1893,0,0.8
989,0,0.81
659,0,0.8
2335,0,0.81
2046,0,0.82
592,0,0.81
521,0,0.77
516,0,0.77
956,0,0.82
1948,0,0.85
752,0,0.85
746,0,0.85
492,0,0.87
1245,0,0.87
483,0,1
490,0,1
490,5,1
490,6,0
479,0,0.87
180,0,0.82
118,0,0.7
10,0,0.7
9,0,0.1
2623,0,4
2623,10,9
2623,20,11.8
2623,30,14.2
2623,40,16.4
2623,50,20.3
2623,70,24.7
2623,80,26.8
2623,110,32.8
2623,150,40.4
2623,160,42.2
2623,170,44.1
2623,200,49.5
2623,210,51.2
2623,230,54.8
2623,240,56.5
2623,250,58.3
2623,280,63.4
2623,290,65.2
2623,320,70.3
2623,330,71.9
2623,350,75.3
2632,0,4
2632,10,9
2632,20,11.8
2632,30,14.2
2632,40,16.4
2632,50,18.5
2632,60,21.7
2632,70,25.8
2632,80,28
2632,110,34.3
2632,130,38.3
2632,140,40.2
2632,150,42.2
2632,160,44.1
2632,170,46.1
2632,180,48
2632,190,49.8
2632,210,53.6
2632,220,55.4
2632,230,57.3
2632,310,71.7
2632,320,73.4
2632,340,77
2632,350,78.7
2650,0,4
2650,10,9
2650,20,11.8
2650,30,14.2
2650,40,16.4
2650,50,18.5
2650,60,20.5
2650,70,22.4
2650,80,25.8
2650,90,30.1
2650,110,34.3
2650,130,38.3
2650,140,40.2
2650,150,42.2
2650,160,44.1
2650,170,46.1
2650,180,48
2650,190,49.8
2650,210,53.6
2650,220,55.4
2650,230,57.3
2650,310,71.7
2650,320,73.4
2650,340,77
2650,350,78.7
2641,0,4
2641,10,9
2641,20,11.8
2641,30,14.2
2641,40,16.4
2641,50,18.5
2641,60,20.5
2641,70,23.8
2641,80,28
2641,110,34.3
2641,130,38.3
2641,140,40.2
2641,150,42.2
2641,160,44.1
2641,170,46.1
2641,180,48
2641,190,49.8
2641,210,53.6
2641,220,55.4
2641,230,57.3
2641,310,71.7
2641,320,73.4
2641,340,77
2641,350,78.7
2609,0,4
2609,10,9
2609,20,11.8
2609,30,14.2
2609,40,16.4
2609,50,18.5
2609,60,20.5
2609,90,26.2
2609,110,29.8
2609,120,31.5
2609,130,33.3
2609,160,38.4
2609,170,40
2609,180,41.7
2609,190,43.3
2609,200,45
2609,250,53
2609,260,54.5
2609,280,57.7
2609,290,59.2
2609,300,60.8
2609,310,62.3
2609,320,63.9
2609,350,68.4
961,0,4
961,10,9
961,20,11.8
961,30,14.2
961,40,16.4
961,50,18.5
961,60,20.5
961,90,26.2
961,110,29.8
961,120,31.5
961,130,33.3
961,160,38.4
961,170,40
961,180,41.7
961,190,43.3
961,200,45
961,250,53
961,260,54.5
961,280,57.7
961,290,59.2
961,300,60.8
961,310,62.3
961,320,63.9
961,350,68.4
1863,0,4
1863,10,9
1863,20,11.8
1863,30,14.2
1863,40,16.4
1863,50,18.5
1863,60,20.5
1863,90,26.2
1863,110,29.8
1863,120,31.5
1863,130,33.3
1863,160,38.4
1863,170,40
1863,180,41.7
1863,190,43.3
1863,200,45
1863,250,53
1863,260,54.5
1863,280,57.7
1863,290,59.2
1863,300,60.8
1863,310,62.3
1863,320,63.9
1863,350,68.4
1185,0,4
1185,10,9
1185,20,11.8
1185,30,14.2
1185,40,16.4
1185,50,20.3
1185,70,24.7
1185,80,26.8
1185,110,32.8
1185,150,40.4
1185,160,42.2
1185,170,44.1
1185,200,49.5
1185,210,51.2
1185,230,54.8
1185,240,56.5
1185,250,58.3
1185,280,63.4
1185,290,65.2
1185,320,70.3
1185,330,71.9
1185,350,75.3
1215,0,4
1215,10,9
1215,20,11.8
1215,30,14.2
1215,40,16.4
1215,50,18.5
1215,60,20.5
1215,70,22.4
1215,80,25.8
1215,90,30.1
1215,110,34.3
1215,130,38.3
1215,140,40.2
1215,150,42.2
1215,160,44.1
1215,170,46.1
1215,180,48
1215,190,49.8
1215,210,53.6
1215,220,55.4
1215,230,57.3
1215,310,71.7
1215,320,73.4
1215,340,77
1215,350,78.7
1205,0,4
1205,10,9
1205,20,11.8
1205,30,14.2
1205,40,16.4
1205,50,18.5
1205,60,20.5
1205,70,23.8
1205,80,28
1205,110,34.3
1205,130,38.3
1205,140,40.2
1205,150,42.2
1205,160,44.1
1205,170,46.1
1205,180,48
1205,190,49.8
1205,210,53.6
1205,220,55.4
1205,230,57.3
1205,310,71.7
1205,320,73.4
1205,340,77
1205,350,78.7
1162,0,4
1162,10,9
1162,20,11.8
1162,30,14.2
1162,40,16.4
1162,50,18.5
1162,60,20.5
1162,90,26.2
1162,110,29.8
1162,120,31.5
1162,130,33.3
1162,160,38.4
1162,170,40
1162,180,41.7
1162,190,43.3
1162,200,45
1162,250,53
1162,260,54.5
1162,280,57.7
1162,290,59.2
1162,300,60.8
1162,310,62.3
1162,320,63.9
1162,350,68.4
1195,0,4
1195,10,9
1195,20,11.8
1195,30,14.2
1195,40,16.4
1195,50,18.5
1195,60,21.7
1195,70,25.8
1195,80,28
1195,110,34.3
1195,130,38.3
1195,140,40.2
1195,150,42.2
1195,160,44.1
1195,170,46.1
1195,180,48
1195,190,49.8
1195,210,53.6
1195,220,55.4
1195,230,57.3
1195,310,71.7
1195,320,73.4
1195,340,77
1195,350,78.7
1112,0,4
