CURVE,X,Y
1262,0,0.001
1207,0,0.00102
5755,0,0.00102
913,0,0.00102
683,0,0.001
219,0,0.0015
1209,0,0.00153
1693,0,0.00153
918,0,0.00153
545,0,0.00195
1602,0,0.002
3565,0,0.00214
517,0,0.002
392,0,0.00214
347,0,0.002
182,0,0.00195
170,0,0.00195
838,0,0.0022
362,0,0.0022
888,0,0.00234
344,0,0.0022
2368,0,0.00234
1568,0,0.0024
5560,0,0.00909
1915,0,0.00955
1764,0,0.0024
391,0,0.00955
348,0,0.0024
171,0,0.00234
167,0,0.00214
2636,0,0.00974
394,0,0.00974
1565,0,0.0098
360,0,0.0098
857,0,0.01
5543,0,0.0125
5535,0,0.0125
1309,0,0.0161
959,0,0.01
349,0,0.01
342,0,0.0098
172,0,0.00974
165,0,0.00955
67,0,0.0015
58,0,0.0015
2095,0,0.01643
2150,0,0.01761
1996,0,0.01643
915,0,0.01643
772,0,0.0161
55,0,0.0161
53,0,0.001
1208,0,0.02602
1566,0,0.036
1234,0,0.02602
914,0,0.02602
5780,0,0.04546
5639,0,0.05
5562,0,0.04546
2461,0,0.036
5536,0,0.0625
1397,0,0.05
1283,0,0.05
345,0,0.036
319,0,0.06775
25,0,0.01761
14,0,0.01761
5563,0,0.07273
3710,0,0.08889
1803,0,0.09743
1412,0,0.08889
986,0,0.09743
649,0,0.09799
2792,0,0.1
1494,0,0.09799
1330,0,0.1
5650,0,0.11111
3708,0,0.11111
1410,0,0.11111
1396,0,0.125
1389,0,0.125
321,0,0.1355
246,0,0.1
217,0,0.09799
168,0,0.09743
22,0,0.06775
5561,0,0.14546
422,0,0.14699
3709,0,0.17778
1802,0,0.19486
1411,0,0.17778
1139,0,0.14699
985,0,0.19486
648,0,0.19598
1493,0,0.19598
216,0,0.19598
166,0,0.19486
5781,0,0.21818
5565,0,0.21818
2033,0,0.2
453,0,0.2
430,0,0.24498
95,0,0.2
2793,0,0.3
3536,0,0.3
3536,1,0.3
3536,299,89.7
2644,0,0.25
773,0,0.24498
564,0,0.3
419,0,0.3
419,1,0.3
419,299,89.7
5180,0,0.3
5180,1,0.3
5180,299,89.7
340,0,0.3
340,1,0.3
340,299,89.7
320,0,0.30488
247,0,0.3
1692,0,0.3
1692,1,0.3
1692,299,89.7
57,0,0.24498
54,0,0.14699
24,0,0.1355
13,0,0.1355
5076,0,0.30488
2643,0,0.35
1893,0,0.3656
361,0,0.3656
6256,0,0.37532
2149,0,0.47425
927,0,0.37532
916,0,0.37532
343,0,0.3656
2639,0,0.5
2639,1,0.5
2639,299,149.5
1388,0,0.5
1388,1,0.5
1388,299,149.5
23,0,0.47425
12,0,0.47425
11,0,0.30488
10,0,0.06775
5564,0,0.50909
1567,0,0.572
1282,0,0.55
5704,0,0.57815
928,0,0.57815
917,0,0.57815
692,0,0.58794
516,0,0.572
346,0,0.572
2791,0,0.6
684,0,0.58794
563,0,0.6
5651,0,0.62222
5537,0,0.6125
1588,0,0.682
1413,0,0.62222
393,0,0.682
245,0,0.6
1263,0,0.68593
227,0,0.68593
218,0,0.68593
1308,0,0.7
1308,1,0.7
1308,299,209.3
215,0,0.7
215,1,0.7
215,299,209.3
169,0,0.682
56,0,0.58794
5939,0,0.7
5939,1,0.7
5939,299,209.3
3763,0,0.7
3763,1,0.7
3763,299,209.3
2034,0,0.8
3694,0,0.825
1398,0,0.825
1390,0,0.825
848,0,1
855,0,1
855,5,1
855,6,0
454,0,0.8
96,0,0.8
1132,0,0.7
1132,1,0.7
1132,299,209.3
3045,0,0.7
3045,1,0.7
3045,299,209.3
49,0,0.7
49,1,0.7
49,299,209.3
764,0,0.5
764,1,0.5
764,299,149.5
682,0,0.5
682,1,0.5
682,299,149.5
3,0,0.5
3,1,0.5
3,299,149.5
734,50,0
734,51,1
734,52,0
3170,43,0
3170,44,1
3170,45,0
281,43,0
281,44,1
281,45,0
744,60,0
744,61,1
744,62,0
2218,55,0
2218,56,1
2218,57,0
483,55,0
483,56,1
483,57,0
2228,65,0
2228,66,1
2228,67,0
493,65,0
493,66,1
493,67,0
3191,63,0
3191,64,1
3191,65,0
139,63,0
139,64,1
139,65,0
3181,53,0
3181,54,1
3181,55,0
130,53,0
130,54,1
130,55,0
115,39,0
470,39,0
470,40,0.1
470,41,0
268,39,0
268,40,0.1
268,41,0
2806,39,0
2806,40,0.3
2806,41,0
2049,39,0
2049,40,0.2
2049,41,0
584,39,0
584,40,0.3
584,41,0
472,39,0
472,40,0.2
472,41,0
2809,39,0
2809,40,0.4
2809,41,0
1345,39,0
1345,40,0.4
1345,41,0
2810,39,0
2810,40,0.6
2810,41,0
583,39,0
583,40,0.6
583,41,0
2207,39,0
2207,40,0.7
2207,41,0
6326,39,0
6326,40,0.7
6326,41,0
468,39,0
468,40,0.7
468,41,0
267,39,0
267,40,0.6
267,41,0
265,39,0
265,40,0.4
265,41,0
261,39,0
261,40,0.3
261,41,0
2208,39,0
2208,40,1
2208,41,0
2050,39,0
2050,40,0.8
2050,41,0
473,39,0
473,40,0.8
473,41,0
4027,39,0
4027,40,2
4027,41,0
799,39,0
799,40,1.8
799,41,0
720,39,0
720,40,1.8
720,41,0
117,39,0
117,40,1
117,41,0
116,39,0
116,40,0.8
116,41,0
113,39,0
113,40,0.2
113,41,0
3944,39,0
3944,40,4.1
3944,41,0
4538,39,0
4538,40,4.2
4538,41,0
1519,39,0
1519,40,4.1
1519,41,0
4345,39,0
4345,40,4.2
4345,41,0
2206,39,0
