CURVE,X,Y
1358,0,0.3
1358,1,0.3
1358,10,3.3
1358,20,6.5
1358,30,9.8
1358,40,13
1358,60,19.6
1358,70,22.8
1358,80,26.1
1358,90,29.3
1358,110,35.9
1358,120,39.1
1358,130,42.4
1358,140,45.6
1358,160,52.2
1358,170,55.4
1358,180,58.7
1358,190,61.9
1358,210,68.5
1358,220,71.7
1358,230,75
1358,240,78.2
1358,260,84.8
1358,270,88
1358,280,91.3
1358,290,94.5
1358,299,97.5
1002,0,0.2
1002,1,0.2
1002,10,1.9
1002,20,3.9
1002,30,5.8
1002,40,7.8
1002,60,11.6
1002,70,13.6
1002,80,15.5
1002,90,17.5
1002,110,21.3
1002,120,23.3
1002,130,25.2
1002,140,27.2
1002,160,31
1002,170,33
1002,180,34.9
1002,190,36.9
1002,210,40.7
1002,220,42.7
1002,230,44.6
1002,240,46.6
1002,260,50.4
1002,270,52.4
1002,280,54.3
1002,290,56.3
1002,299,58
477,0,0.2
477,1,0.2
477,10,1.7
477,290,49.3
477,299,50.8
2790,0,0.4
2790,1,0.4
2790,10,4.1
2790,290,118.9
2790,299,122.6
1892,0,0.4
1892,1,0.4
1892,10,4.1
1892,290,118.9
1892,299,122.6
918,0,0.3
918,1,0.3
918,10,3.2
918,290,92.8
918,299,95.7
1749,0,0.3
1749,1,0.3
1749,10,3.3
1749,20,6.5
1749,30,9.8
1749,40,13
1749,60,19.6
1749,70,22.8
1749,80,26.1
1749,90,29.3
1749,110,35.9
1749,120,39.1
1749,130,42.4
1749,140,45.6
1749,160,52.2
1749,170,55.4
1749,180,58.7
1749,190,61.9
1749,210,68.5
1749,220,71.7
1749,230,75
1749,240,78.2
1749,260,84.8
1749,270,88
1749,280,91.3
1749,290,94.5
1749,299,97.5
866,0,0.3
866,1,0.3
866,10,3.3
866,20,6.5
866,30,9.8
866,40,13
866,60,19.6
866,70,22.8
866,80,26.1
866,90,29.3
866,110,35.9
866,120,39.1
866,130,42.4
866,140,45.6
866,160,52.2
866,170,55.4
866,180,58.7
866,190,61.9
866,210,68.5
866,220,71.7
866,230,75
866,240,78.2
866,260,84.8
866,270,88
866,280,91.3
866,290,94.5
866,299,97.5
713,0,0.3
713,1,0.3
713,10,3.3
713,20,6.5
713,30,9.8
713,40,13
713,60,19.6
713,70,22.8
713,80,26.1
713,90,29.3
713,110,35.9
713,120,39.1
713,130,42.4
713,140,45.6
713,160,52.2
713,170,55.4
713,180,58.7
713,190,61.9
713,210,68.5
713,220,71.7
713,230,75
713,240,78.2
713,260,84.8
713,270,88
713,280,91.3
713,290,94.5
713,299,97.5
669,0,0.3
669,1,0.3
669,10,3.3
669,20,6.5
669,30,9.8
669,40,13
669,60,19.6
669,70,22.8
669,80,26.1
669,90,29.3
669,110,35.9
669,120,39.1
669,130,42.4
669,140,45.6
669,160,52.2
669,170,55.4
669,180,58.7
669,190,61.9
669,210,68.5
669,220,71.7
669,230,75
669,240,78.2
669,260,84.8
669,270,88
669,280,91.3
669,290,94.5
669,299,97.5
1130,0,0.3
1130,1,0.3
1130,10,3.2
1130,290,92.8
1130,299,95.7
998,0,0.3
998,1,0.3
998,10,3.2
998,290,92.8
998,299,95.7
710,0,0.3
710,1,0.3
710,10,3.2
710,290,92.8
710,299,95.7
985,0,0.3
985,1,0.3
985,10,3.2
985,290,92.8
985,299,95.7
892,0,0.3
892,1,0.3
892,10,3.2
892,290,92.8
892,299,95.7
217,0,0.3
217,1,0.3
217,10,3.2
217,290,92.8
217,299,95.7
2398,0,0.3
2398,1,0.3
2398,10,3.3
2398,20,6.5
2398,30,9.8
2398,40,13
2398,60,19.6
2398,70,22.8
2398,80,26.1
2398,90,29.3
2398,110,35.9
2398,120,39.1
2398,130,42.4
2398,140,45.6
2398,160,52.2
2398,170,55.4
2398,180,58.7
2398,190,61.9
2398,210,68.5
2398,220,71.7
2398,230,75
2398,240,78.2
2398,260,84.8
2398,270,88
2398,280,91.3
2398,290,94.5
2398,299,97.5
1497,0,0.3
1497,1,0.3
1497,10,3.3
1497,20,6.5
1497,30,9.8
1497,40,13
1497,60,19.6
1497,70,22.8
1497,80,26.1
1497,90,29.3
1497,110,35.9
1497,120,39.1
1497,130,42.4
1497,140,45.6
1497,160,52.2
1497,170,55.4
1497,180,58.7
1497,190,61.9
1497,210,68.5
1497,220,71.7
1497,230,75
1497,240,78.2
1497,260,84.8
1497,270,88
1497,280,91.3
1497,290,94.5
1497,299,97.5
2386,0,0.3
2386,1,0.3
2386,10,3.3
2386,20,6.5
2386,30,9.8
2386,40,13
2386,60,19.6
2386,70,22.8
2386,80,26.1
2386,90,29.3
2386,110,35.9
2386,120,39.1
2386,130,42.4
2386,140,45.6
2386,160,52.2
2386,170,55.4
2386,180,58.7
2386,190,61.9
2386,210,68.5
2386,220,71.7
2386,230,75
2386,240,78.2
2386,260,84.8
2386,270,88
2386,280,91.3
2386,290,94.5
2386,299,97.5
151,0,0.3
151,1,0.3
151,10,3.3
151,20,6.5
151,30,9.8
151,40,13
151,60,19.6
151,70,22.8
151,80,26.1
