TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.CWHvm_DR_HW_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.CWHvm_DR_HW_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.Height.unmanaged.CWHvm_DR_HW_M,,3
1,feature.QMD.unmanaged.CWHvm_DR_HW_M,,4
1,feature.Seral.CWHvm_DR_HW_M.immature,,5
1,feature.Seral.CWHvm_DR_HW_M.mature,,6
1,feature.Seral.CWHvm_DR_HW_M.overmature,,7
1,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
1,feature.Seral.CWHvm_DR_HW_M.young,,9
1,feature.Seral.immature,,5
1,feature.Seral.mature,,6
1,feature.Seral.overmature,,7
1,feature.Seral.regenerating,,8
1,feature.Seral.young,,9
1,feature.StemsPerHa.unmanaged.CWHvm_DR_HW_M,,10
1,feature.Yield.unmanaged.Total,,11
2,feature.Area.managed,,2
2,feature.Area.og1.CWHvm_DR_HW_M,,0
2,feature.Area.og1.total,,0
2,feature.Area.og2.CWHvm_DR_HW_M,,1
2,feature.Area.og2.total,,1
2,feature.BasalArea000.managed.CWHvm_DR_HW_M,,12
2,feature.DBHg000.managed.CWHvm_DR_HW_M,,13
2,feature.Height.managed.CWHvm_DR_HW_M,,14
2,feature.MAI.managed.CWHvm_DR_HW_M,,15
2,feature.QMD.managed.CWHvm_DR_HW_M,,13
2,feature.SPH000.managed.CWHvm_DR_HW_M,,16
2,feature.Seral.CWHvm_DR_HW_M.immature,,5
2,feature.Seral.CWHvm_DR_HW_M.mature,,6
2,feature.Seral.CWHvm_DR_HW_M.overmature,,7
2,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
2,feature.Seral.CWHvm_DR_HW_M.young,,9
2,feature.Seral.immature,,5
2,feature.Seral.mature,,6
2,feature.Seral.overmature,,7
2,feature.Seral.regenerating,,8
2,feature.Seral.young,,9
2,feature.StemCount000.managed.CWHvm_DR_HW_M,,16
2,feature.StemCount125.managed.CWHvm_DR_HW_M,,17
2,feature.StemCount175.managed.CWHvm_DR_HW_M,,18
2,feature.StemsPerHa.managed.CWHvm_DR_HW_M,,19
2,feature.Yield.managed.Total,,20
3,feature.Area.og1.CWHvm_FDC_HW_H,,28
3,feature.Area.og1.total,,28
3,feature.Area.og2.CWHvm_FDC_HW_H,,1
3,feature.Area.og2.total,,1
3,feature.Area.unmanaged,,2
3,feature.Height.unmanaged.CWHvm_FDC_HW_H,,29
3,feature.QMD.unmanaged.CWHvm_FDC_HW_H,,30
3,feature.Seral.CWHvm_FDC_HW_H.immature,,31
3,feature.Seral.CWHvm_FDC_HW_H.mature,,32
3,feature.Seral.CWHvm_FDC_HW_H.overmature,,33
3,feature.Seral.CWHvm_FDC_HW_H.regenerating,,8
3,feature.Seral.CWHvm_FDC_HW_H.young,,9
3,feature.Seral.immature,,31
3,feature.Seral.mature,,32
3,feature.Seral.overmature,,33
3,feature.Seral.regenerating,,8
3,feature.Seral.young,,9
3,feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_H,,34
3,feature.Yield.unmanaged.Total,,35
4,feature.Area.managed,,2
4,feature.Area.og1.CWHvm_FDC_HW_H,,28
4,feature.Area.og1.total,,28
4,feature.Area.og2.CWHvm_FDC_HW_H,,1
4,feature.Area.og2.total,,1
4,feature.BasalArea000.managed.CWHvm_FDC_HW_H,,36
4,feature.DBHg000.managed.CWHvm_FDC_HW_H,,37
4,feature.Height.managed.CWHvm_FDC_HW_H,,38
4,feature.MAI.managed.CWHvm_FDC_HW_H,,39
4,feature.QMD.managed.CWHvm_FDC_HW_H,,37
4,feature.SPH000.managed.CWHvm_FDC_HW_H,,40
4,feature.Seral.CWHvm_FDC_HW_H.immature,,31
4,feature.Seral.CWHvm_FDC_HW_H.mature,,32
4,feature.Seral.CWHvm_FDC_HW_H.overmature,,33
4,feature.Seral.CWHvm_FDC_HW_H.regenerating,,8
4,feature.Seral.CWHvm_FDC_HW_H.young,,9
4,feature.Seral.immature,,31
4,feature.Seral.mature,,32
4,feature.Seral.overmature,,33
4,feature.Seral.regenerating,,8
4,feature.Seral.young,,9
4,feature.StemCount000.managed.CWHvm_FDC_HW_H,,40
4,feature.StemCount125.managed.CWHvm_FDC_HW_H,,41
4,feature.StemCount175.managed.CWHvm_FDC_HW_H,,42
4,feature.StemsPerHa.managed.CWHvm_FDC_HW_H,,19
4,feature.Yield.managed.Total,,43
5,feature.Area.managed,,2
5,feature.Area.og1.CWHvm_FDC_HW_H,,28
5,feature.Area.og1.total,,28
5,feature.Area.og2.CWHvm_FDC_HW_H,,1
5,feature.Area.og2.total,,1
5,feature.Height.managed.CWHvm_FDC_HW_H,,38
5,feature.QMD.managed.CWHvm_FDC_HW_H,,37
5,feature.StemsPerHa.managed.CWHvm_FDC_HW_H,,53
5,feature.Yield.managed.Total,,43
6,feature.Area.managed,,2
6,feature.Area.og1.CWHvm_FDC_HW_H,,28
6,feature.Area.og1.total,,28
6,feature.Area.og2.CWHvm_FDC_HW_H,,1
6,feature.Area.og2.total,,1
6,feature.Height.managed.CWHvm_FDC_HW_H,,38
6,feature.QMD.managed.CWHvm_FDC_HW_H,,57
6,feature.StemsPerHa.managed.CWHvm_FDC_HW_H,,58
6,feature.Yield.managed.Total,,59
7,feature.Area.managed,,2
7,feature.Area.og1.CWHvm_FDC_HW_H,,28
7,feature.Area.og1.total,,28
7,feature.Area.og2.CWHvm_FDC_HW_H,,1
7,feature.Area.og2.total,,1
7,feature.Height.managed.CWHvm_FDC_HW_H,,38
7,feature.QMD.managed.CWHvm_FDC_HW_H,,63
7,feature.StemsPerHa.managed.CWHvm_FDC_HW_H,,58
7,feature.Yield.managed.Total,,64
8,feature.Area.managed,,2
8,feature.Area.og1.CWHvm_FDC_HW_H,,28
8,feature.Area.og1.total,,28
8,feature.Area.og2.CWHvm_FDC_HW_H,,1
8,feature.Area.og2.total,,1
8,feature.Height.managed.CWHvm_FDC_HW_H,,38
8,feature.QMD.managed.CWHvm_FDC_HW_H,,68
8,feature.StemsPerHa.managed.CWHvm_FDC_HW_H,,58
8,feature.Yield.managed.Total,,69
9,feature.Area.managed,,2
9,feature.Area.og1.CWHvm_FDC_HW_H,,28
9,feature.Area.og1.total,,28
9,feature.Area.og2.CWHvm_FDC_HW_H,,1
9,feature.Area.og2.total,,1
9,feature.Height.managed.CWHvm_FDC_HW_H,,38
9,feature.QMD.managed.CWHvm_FDC_HW_H,,73
9,feature.StemsPerHa.managed.CWHvm_FDC_HW_H,,58
9,feature.Yield.managed.Total,,74
10,feature.Area.og1.CWHvm_HW_CW_M,,77
10,feature.Area.og1.total,,77
10,feature.Area.og2.CWHvm_HW_CW_M,,1
10,feature.Area.og2.total,,1
10,feature.Area.unmanaged,,2
10,feature.Height.unmanaged.CWHvm_HW_CW_M,,78
10,feature.QMD.unmanaged.CWHvm_HW_CW_M,,79
10,feature.Seral.CWHvm_HW_CW_M.immature,,80
10,feature.Seral.CWHvm_HW_CW_M.mature,,81
10,feature.Seral.CWHvm_HW_CW_M.overmature,,7
10,feature.Seral.CWHvm_HW_CW_M.regenerating,,8
10,feature.Seral.CWHvm_HW_CW_M.young,,9
10,feature.Seral.immature,,80
10,feature.Seral.mature,,81
10,feature.Seral.overmature,,7
10,feature.Seral.regenerating,,8
10,feature.Seral.young,,9
10,feature.StemsPerHa.unmanaged.CWHvm_HW_CW_M,,10
10,feature.Yield.unmanaged.Total,,82
11,feature.Area.managed,,2
11,feature.Area.og1.CWHvm_HW_CW_M,,77
11,feature.Area.og1.total,,77
11,feature.Area.og2.CWHvm_HW_CW_M,,1
11,feature.Area.og2.total,,1
11,feature.BasalArea000.managed.CWHvm_HW_CW_M,,83
11,feature.DBHg000.managed.CWHvm_HW_CW_M,,84
11,feature.Height.managed.CWHvm_HW_CW_M,,85
11,feature.MAI.managed.CWHvm_HW_CW_M,,86
11,feature.QMD.managed.CWHvm_HW_CW_M,,84
11,feature.SPH000.managed.CWHvm_HW_CW_M,,87
11,feature.Seral.CWHvm_HW_CW_M.immature,,80
11,feature.Seral.CWHvm_HW_CW_M.mature,,81
11,feature.Seral.CWHvm_HW_CW_M.overmature,,7
11,feature.Seral.CWHvm_HW_CW_M.regenerating,,8
11,feature.Seral.CWHvm_HW_CW_M.young,,9
11,feature.Seral.immature,,80
11,feature.Seral.mature,,81
11,feature.Seral.overmature,,7
11,feature.Seral.regenerating,,8
11,feature.Seral.young,,9
11,feature.StemCount000.managed.CWHvm_HW_CW_M,,87
11,feature.StemCount125.managed.CWHvm_HW_CW_M,,88
