CURVE,X,Y
1263,0,0.001
1208,0,0.00102
5866,0,0.00102
915,0,0.00102
685,0,0.001
219,0,0.0015
1210,0,0.00153
1706,0,0.00153
920,0,0.00153
547,0,0.00195
1606,0,0.002
3639,0,0.00214
519,0,0.002
394,0,0.00214
349,0,0.002
182,0,0.00195
170,0,0.00195
840,0,0.0022
364,0,0.0022
890,0,0.00234
346,0,0.0022
2386,0,0.00234
1572,0,0.0024
5659,0,0.00909
1928,0,0.00955
1777,0,0.0024
393,0,0.00955
350,0,0.0024
171,0,0.00234
167,0,0.00214
2648,0,0.00974
396,0,0.00974
1569,0,0.0098
362,0,0.0098
859,0,0.01
5642,0,0.0125
5633,0,0.0125
1310,0,0.0161
961,0,0.01
351,0,0.01
344,0,0.0098
172,0,0.00974
165,0,0.00955
67,0,0.0015
58,0,0.0015
2113,0,0.01643
2168,0,0.01761
2015,0,0.01643
917,0,0.01643
774,0,0.0161
55,0,0.0161
53,0,0.001
1209,0,0.02602
1570,0,0.036
1235,0,0.02602
916,0,0.02602
5894,0,0.04546
5738,0,0.05
5661,0,0.04546
2479,0,0.036
5634,0,0.0625
1400,0,0.05
1284,0,0.05
347,0,0.036
321,0,0.06775
25,0,0.01761
14,0,0.01761
5662,0,0.07273
3788,0,0.08889
1816,0,0.09743
1415,0,0.08889
988,0,0.09743
651,0,0.09799
5749,0,0.11111
3786,0,0.11111
1497,0,0.09799
1413,0,0.11111
1399,0,0.125
1392,0,0.125
323,0,0.1355
217,0,0.09799
168,0,0.09743
22,0,0.06775
5660,0,0.14546
424,0,0.14699
3787,0,0.17778
1815,0,0.19486
1414,0,0.17778
1140,0,0.14699
987,0,0.19486
650,0,0.19598
1496,0,0.19598
216,0,0.19598
166,0,0.19486
455,0,0.2
5895,0,0.21818
5664,0,0.21818
432,0,0.24498
246,0,0.2
95,0,0.2
3610,0,0.3
3610,1,0.3
3610,299,89.7
2656,0,0.25
775,0,0.24498
1705,0,0.3
1705,1,0.3
1705,299,89.7
5636,0,0.3
421,0,0.3
421,1,0.3
421,299,89.7
5279,0,0.3
5279,1,0.3
5279,299,89.7
342,0,0.3
342,1,0.3
342,299,89.7
322,0,0.30488
57,0,0.24498
54,0,0.14699
24,0,0.1355
13,0,0.1355
5181,0,0.30488
2655,0,0.35
