CURVE,X,Y
1724,0,0.001
528,0,0.00102
555,0,0.0015
515,0,0.00102
373,0,0.001
1039,0,0.00153
737,0,0.00153
520,0,0.00153
276,0,0.0015
609,0,0.00195
448,0,0.002
304,0,0.002
205,0,0.002
116,0,0.00195
98,0,0.00195
981,0,0.00214
574,0,0.0022
668,0,0.00234
585,0,0.0022
202,0,0.0022
114,0,0.00214
1261,0,0.0024
610,0,0.00234
305,0,0.0024
3335,0,0.00909
2827,0,0.00909
1287,0,0.00955
206,0,0.0024
99,0,0.00234
95,0,0.00214
669,0,0.00974
486,0,0.00955
1018,0,0.00974
641,0,0.0098
1503,0,0.01
966,0,0.0098
2801,0,0.0125
761,0,0.0161
586,0,0.01
207,0,0.01
200,0,0.0098
100,0,0.00974
93,0,0.00955
63,0,0.0015
746,0,0.01643
2166,0,0.01761
517,0,0.01643
267,0,0.0161
60,0,0.0161
58,0,0.001
529,0,0.02602
735,0,0.02602
575,0,0.036
516,0,0.02602
303,0,0.036
3327,0,0.04546
2829,0,0.04546
2099,0,0.04762
856,0,0.05
798,0,0.04762
2931,0,0.05
2802,0,0.0625
1220,0,0.06775
779,0,0.05
203,0,0.036
178,0,0.01761
14,0,0.01761
3044,0,0.07273
2830,0,0.07273
2890,0,0.08333
1935,0,0.08889
1556,0,0.08333
1464,0,0.06775
871,0,0.08889
890,0,0.09799
608,0,0.09743
347,0,0.09799
237,0,0.09743
1933,0,0.11111
869,0,0.11111
2930,0,0.125
1221,0,0.1355
850,0,0.125
151,0,0.09799
96,0,0.09743
1466,0,0.1355
3471,0,0.14699
3043,0,0.14546
2828,0,0.14546
799,0,0.14286
266,0,0.14699
1934,0,0.17778
1557,0,0.16667
870,0,0.17778
889,0,0.19598
607,0,0.19486
346,0,0.19598
236,0,0.19486
2088,0,0.2
3336,0,0.21818
2832,0,0.21818
2098,0,0.2381
1249,0,0.24498
797,0,0.2381
778,0,0.2
150,0,0.19598
94,0,0.19486
2160,0,0.25
1555,0,0.25
2978,0,0.3
2978,1,0.3
2978,299,89.7
512,0,0.3
512,1,0.3
512,299,89.7
399,0,0.24498
1228,0,0.30488
2804,0,0.3
1882,0,0.3
1882,1,0.3
1882,299,89.7
734,0,0.3
734,1,0.3
734,299,89.7
2810,0,0.3
3455,0,0.3
3455,1,0.3
3455,299,89.7
2042,0,0.3
2042,1,0.3
2042,299,89.7
263,0,0.3
263,1,0.3
263,299,89.7
62,0,0.24498
59,0,0.14699
13,0,0.1355
2159,0,0.35
2165,0,0.35
1554,0,0.35
1465,0,0.30488
573,0,0.3656
302,0,0.3656
736,0,0.37532
709,0,0.37532
518,0,0.37532
201,0,0.3656
30,0,0.47425
177,0,0.47425
631,0,0.5
631,1,0.5
631,299,149.5
170,0,0.5
170,1,0.5
170,299,149.5
12,0,0.47425
11,0,0.30488
10,0,0.06775
2831,0,0.50909
796,0,0.57143
777,0,0.55
447,0,0.572
997,0,0.572
2598,0,0.57815
1558,0,0.58333
530,0,0.57815
519,0,0.57815
268,0,0.58794
204,0,0.572
2803,0,0.6125
872,0,0.62222
115,0,0.682
1157,0,0.68593
238,0,0.682
2342,0,0.7
2342,1,0.7
2342,299,209.3
444,0,0.7
444,1,0.7
444,299,209.3
356,0,0.68593
2535,0,0.7
2535,1,0.7
2535,299,209.3
857,0,0.825
851,0,0.825
1570,0,0.7
1570,1,0.7
1570,299,209.3
1901,0,0.7
1901,1,0.7
1901,299,209.3
345,0,0.7
345,1,0.7
345,299,209.3
152,0,0.68593
97,0,0.682
61,0,0.58794
21,0,1
28,0,1
28,5,1
28,6,0
1310,0,0.5
1310,1,0.5
1310,299,149.5
2798,0,0.5
2798,1,0.5
2798,299,149.5
3,0,0.5
3,1,0.5
3,299,149.5
388,79,0
568,79,0
568,80,0.001
758,79,0
758,80,0.00102
570,79,0
570,80,0.0015
548,79,0
548,80,0.00102
2792,79,0
2792,80,0.00153
2341,79,0
2341,80,0.0015
3261,79,0
3261,80,0.00153
1308,79,0
1308,80,0.00195
553,79,0
553,80,0.00153
955,79,0
955,80,0.00195
508,79,0
508,80,0.00195
2739,79,0
2739,80,0.002
1306,79,0
1306,80,0.00214
2523,79,0
2523,80,0.00214
1284,79,0
1284,80,0.0022
505,79,0
505,80,0.00214
483,79,0
483,80,0.002
2737,79,0
2737,80,0.0022
1309,79,0
1309,80,0.00234
1286,79,0
1286,80,0.0024
956,79,0
956,80,0.00234
509,79,0
509,80,0.00234
3345,79,0
3345,80,0.00909
2845,79,0
2845,80,0.00909
2740,79,0
2740,80,0.0024
1304,79,0
1304,80,0.00955
952,79,0
952,80,0.00955
1282,79,0
1282,80,0.0098
510,79,0
510,80,0.00974
503,79,0
503,80,0.00955
484,79,0
484,80,0.0024
480,79,0
480,80,0.0022
2823,79,0
2823,80,0.0125
936,79,0
936,80,0.01
772,79,0
772,80,0.0161
485,79,0
485,80,0.01
478,79,0
478,80,0.0098
397,79,0
397,80,0.0015
2340,79,0
2340,80,0.0161
760,79,0
760,80,0.01643
550,79,0
550,80,0.01643
3260,79,0
3260,80,0.02602
1285,79,0
1285,80,0.036
759,79,0
759,80,0.02602
549,79,0
549,80,0.02602
3346,79,0
3346,80,0.04546
2847,79,0
2847,80,0.04546
2509,79,0
2509,80,0.036
3056,79,0
3056,80,0.07273
2848,79,0
2848,80,0.07273
2824,79,0
2824,80,0.0625
1946,79,0
1946,80,0.08889
1932,79,0
1932,80,0.05
1307,79,0
1307,80,0.09743
883,79,0
883,80,0.08889
867,79,0
867,80,0.05
954,79,0
954,80,0.09743
506,79,0
506,80,0.09743
481,79,0
481,80,0.036
1600,79,0
1600,80,0.09799
1944,79,0
1944,80,0.11111
881,79,0
881,80,0.11111
2944,79,0
2944,80,0.125
3055,79,0
3055,80,0.14546
2846,79,0
2846,80,0.14546
1945,79,0
1945,80,0.17778
1305,79,0
1305,80,0.19486
882,79,0
882,80,0.17778
866,79,0
866,80,0.125
953,79,0
953,80,0.19486
504,79,0
504,80,0.19486
395,79,0
395,80,0.09799
394,79,0
394,80,0.0161
3347,79,0
3347,80,0.21818
2850,79,0
2850,80,0.21818
2826,79,0
2826,80,0.3
1599,79,0
1599,80,0.19598
1283,79,0
1283,80,0.3656
2508,79,0
2508,80,0.3656
2849,79,0
2849,80,0.50909
1177,79,0
1177,80,0.37532
551,79,0
551,80,0.37532
2738,79,0
2738,80,0.572
552,79,0
552,80,0.57815
2786,79,0
2786,80,0.6
2786,110,0.9
2786,120,0.9
2786,130,1
1895,79,0
1895,80,0.6
1895,100,0.8
1895,110,0.8
1895,130,1
3299,79,0
3299,80,0.6
3299,110,0.9
3299,120,0.9
3299,130,1
1171,79,0
1171,80,0.6
1171,110,0.9
1171,120,0.9
1171,130,1
538,79,0
538,80,0.6
538,110,0.9
538,120,0.9
538,130,1
482,79,0
482,80,0.572
479,79,0
479,80,0.3656
393,79,0
393,80,0.19598
392,79,0
392,80,0.001
2825,79,0
2825,80,0.6125
1862,79,0
1862,80,0.682
884,79,0
884,80,0.62222
3311,79,0
3311,80,0.68593
569,79,0
569,80,0.68593
507,79,0
507,80,0.682
3310,79,0
3310,80,0.9
3310,90,1
3310,100,1.2
3310,130,1.5
3302,79,0
3302,80,0.9
3302,90,1.1
3302,140,1.6
868,79,0
868,80,0.825
3494,79,0
3494,80,0.9
3494,90,1
3494,100,1.2
3494,130,1.5
828,79,0
828,80,0.9
828,90,1
828,100,1.2
828,130,1.5
771,79,0
771,80,0.9
771,90,1
771,100,1.2
771,130,1.5
567,79,0
567,80,0.9
567,90,1
567,100,1.2
567,130,1.5
3258,79,0
3258,80,0.9
3258,90,1.1
3258,140,1.6
543,79,0
543,80,0.9
543,90,1.1
543,140,1.6
396,79,0
396,80,0.68593
554,79,0
554,80,1
545,79,0
545,80,1
545,100,1
545,101,0
1858,79,0
1858,80,1.1
1858,90,1.3
1858,100,1.4
1858,110,1.6
1858,130,1.8
3564,79,0
3564,80,1.1
3564,90,1.3
3564,100,1.4
3564,110,1.6
3564,130,1.8
1301,79,0
1301,80,1.1
1301,90,1.3
1301,100,1.4
1301,110,1.6
1301,130,1.8
949,79,0
949,80,1.1
949,90,1.3
949,100,1.4
949,110,1.6
949,130,1.8
2754,79,0
2754,80,1.1
2754,90,1.3
2754,100,1.4
2754,110,1.6
2754,130,1.8
2521,79,0
2521,80,1.1
2521,90,1.3
2521,100,1.4
2521,110,1.6
2521,130,1.8
1777,79,0
1777,80,1.1
1777,90,1.3
1777,100,1.4
1777,110,1.6
1777,130,1.8
500,79,0
500,80,1.1
500,90,1.3
500,100,1.4
500,110,1.6
500,130,1.8
2751,79,0
2751,80,1.2
2751,100,1.6
2751,110,1.7
2751,120,1.9
2751,130,2
