TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.CWHvm_DR_HW_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.CWHvm_DR_HW_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.Height.unmanaged.CWHvm_DR_HW_M,,3
1,feature.QMD.unmanaged.CWHvm_DR_HW_M,,4
1,feature.Seral.CWHvm_DR_HW_M.immature,,5
1,feature.Seral.CWHvm_DR_HW_M.mature,,6
1,feature.Seral.CWHvm_DR_HW_M.overmature,,7
1,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
1,feature.Seral.CWHvm_DR_HW_M.young,,9
1,feature.Seral.immature,,5
1,feature.Seral.mature,,6
1,feature.Seral.overmature,,7
1,feature.Seral.regenerating,,8
1,feature.Seral.young,,9
1,feature.SpeciesProp.unmanaged.CW,,10
1,feature.SpeciesProp.unmanaged.DR,,11
1,feature.SpeciesProp.unmanaged.FDC,,12
1,feature.SpeciesProp.unmanaged.HW,,13
1,feature.SpeciesProp.unmanaged.SS,,14
1,feature.Yield.unmanaged.CW,,15
1,feature.Yield.unmanaged.DR,,16
1,feature.Yield.unmanaged.FDC,,17
1,feature.Yield.unmanaged.HW,,18
1,feature.Yield.unmanaged.SS,,19
1,feature.Yield.unmanaged.Total,,20
2,feature.Area.managed,,21
2,feature.Area.og1.CWHvm_DR_HW_M,,22
2,feature.Area.og1.total,,22
2,feature.Area.og2.CWHvm_DR_HW_M,,23
2,feature.Area.og2.total,,23
2,feature.Height.managed.CWHvm_DR_HW_M,,24
2,feature.QMD.managed.CWHvm_DR_HW_M,,4
2,feature.Seral.CWHvm_DR_HW_M.immature,,25
2,feature.Seral.CWHvm_DR_HW_M.mature,,26
2,feature.Seral.CWHvm_DR_HW_M.overmature,,27
2,feature.Seral.CWHvm_DR_HW_M.regenerating,,28
2,feature.Seral.CWHvm_DR_HW_M.young,,29
2,feature.Seral.immature,,25
2,feature.Seral.mature,,26
2,feature.Seral.overmature,,27
2,feature.Seral.regenerating,,28
2,feature.Seral.young,,29
2,feature.SpeciesProp.managed.CW,,10
2,feature.SpeciesProp.managed.DR,,11
2,feature.SpeciesProp.managed.FDC,,30
2,feature.SpeciesProp.managed.HW,,13
2,feature.SpeciesProp.managed.SS,,14
2,feature.Yield.managed.CW,,31
2,feature.Yield.managed.DR,,32
2,feature.Yield.managed.FDC,,33
2,feature.Yield.managed.HW,,34
2,feature.Yield.managed.SS,,35
2,feature.Yield.managed.Total,,36
3,feature.Area.managed,,2
3,feature.Area.og1.CWHvm_FDC_HW_H,,53
3,feature.Area.og1.total,,53
3,feature.Area.og2.CWHvm_FDC_HW_H,,1
3,feature.Area.og2.total,,1
3,feature.Height.managed.CWHvm_FDC_HW_H,,54
3,feature.QMD.managed.CWHvm_FDC_HW_H,,4
3,feature.Seral.CWHvm_FDC_HW_H.immature,,55
3,feature.Seral.CWHvm_FDC_HW_H.mature,,56
3,feature.Seral.CWHvm_FDC_HW_H.overmature,,57
3,feature.Seral.CWHvm_FDC_HW_H.regenerating,,8
3,feature.Seral.CWHvm_FDC_HW_H.young,,9
3,feature.Seral.immature,,55
3,feature.Seral.mature,,56
3,feature.Seral.overmature,,57
3,feature.Seral.regenerating,,8
3,feature.Seral.young,,9
3,feature.SpeciesProp.managed.BA,,58
3,feature.SpeciesProp.managed.CW,,59
3,feature.SpeciesProp.managed.DR,,60
3,feature.SpeciesProp.managed.FDC,,61
3,feature.SpeciesProp.managed.HW,,62
3,feature.SpeciesProp.managed.PL,,63
3,feature.SpeciesProp.managed.SS,,63
3,feature.Yield.managed.BA,,64
3,feature.Yield.managed.CW,,65
3,feature.Yield.managed.DR,,66
3,feature.Yield.managed.FDC,,67
3,feature.Yield.managed.HW,,68
3,feature.Yield.managed.PL,,69
3,feature.Yield.managed.SS,,69
3,feature.Yield.managed.Total,,70
4,feature.Area.og1.CWHvm_HW_CW_M,,89
4,feature.Area.og1.total,,89
4,feature.Area.og2.CWHvm_HW_CW_M,,1
4,feature.Area.og2.total,,1
4,feature.Area.unmanaged,,2
4,feature.Height.unmanaged.CWHvm_HW_CW_M,,3
4,feature.QMD.unmanaged.CWHvm_HW_CW_M,,4
4,feature.Seral.CWHvm_HW_CW_M.immature,,90
4,feature.Seral.CWHvm_HW_CW_M.mature,,91
4,feature.Seral.CWHvm_HW_CW_M.overmature,,92
4,feature.Seral.CWHvm_HW_CW_M.regenerating,,8
4,feature.Seral.CWHvm_HW_CW_M.young,,9
4,feature.Seral.immature,,90
4,feature.Seral.mature,,91
4,feature.Seral.overmature,,92
4,feature.Seral.regenerating,,8
4,feature.Seral.young,,9
4,feature.SpeciesProp.unmanaged.BA,,93
4,feature.SpeciesProp.unmanaged.CW,,94
4,feature.SpeciesProp.unmanaged.DR,,95
4,feature.SpeciesProp.unmanaged.FDC,,96
4,feature.SpeciesProp.unmanaged.HW,,97
4,feature.SpeciesProp.unmanaged.PLC,,98
4,feature.SpeciesProp.unmanaged.SS,,99
4,feature.SpeciesProp.unmanaged.YC,,100
4,feature.Yield.unmanaged.BA,,101
4,feature.Yield.unmanaged.CW,,102
4,feature.Yield.unmanaged.DR,,103
4,feature.Yield.unmanaged.FDC,,104
4,feature.Yield.unmanaged.HW,,105
4,feature.Yield.unmanaged.PLC,,106
4,feature.Yield.unmanaged.SS,,107
4,feature.Yield.unmanaged.Total,,108
4,feature.Yield.unmanaged.YC,,109
5,feature.Area.managed,,21
5,feature.Area.og1.CWHvm_HW_CW_M,,110
5,feature.Area.og1.total,,110
5,feature.Area.og2.CWHvm_HW_CW_M,,23
5,feature.Area.og2.total,,23
5,feature.Height.managed.CWHvm_HW_CW_M,,24
5,feature.QMD.managed.CWHvm_HW_CW_M,,4
5,feature.Seral.CWHvm_HW_CW_M.immature,,111
5,feature.Seral.CWHvm_HW_CW_M.mature,,112
5,feature.Seral.CWHvm_HW_CW_M.overmature,,113
5,feature.Seral.CWHvm_HW_CW_M.regenerating,,28
5,feature.Seral.CWHvm_HW_CW_M.young,,29
5,feature.Seral.immature,,111
5,feature.Seral.mature,,112
5,feature.Seral.overmature,,113
5,feature.Seral.regenerating,,28
5,feature.Seral.young,,29
5,feature.SpeciesProp.managed.BA,,93
5,feature.SpeciesProp.managed.CW,,94
5,feature.SpeciesProp.managed.DR,,114
5,feature.SpeciesProp.managed.FDC,,96
5,feature.SpeciesProp.managed.HW,,115
5,feature.SpeciesProp.managed.PLC,,116
5,feature.SpeciesProp.managed.SS,,99
5,feature.SpeciesProp.managed.YC,,100
5,feature.Yield.managed.BA,,117
5,feature.Yield.managed.CW,,118
5,feature.Yield.managed.DR,,119
5,feature.Yield.managed.FDC,,120
5,feature.Yield.managed.HW,,121
5,feature.Yield.managed.PLC,,122
5,feature.Yield.managed.SS,,123
5,feature.Yield.managed.Total,,124
5,feature.Yield.managed.YC,,125
6,feature.Area.managed,,2
6,feature.Area.og1.CWHvm_HW_FDC_H,,148
6,feature.Area.og1.total,,148
6,feature.Area.og2.CWHvm_HW_FDC_H,,1
6,feature.Area.og2.total,,1
6,feature.Height.managed.CWHvm_HW_FDC_H,,149
6,feature.QMD.managed.CWHvm_HW_FDC_H,,4
6,feature.Seral.CWHvm_HW_FDC_H.immature,,55
6,feature.Seral.CWHvm_HW_FDC_H.mature,,56
6,feature.Seral.CWHvm_HW_FDC_H.overmature,,57
6,feature.Seral.CWHvm_HW_FDC_H.regenerating,,8
6,feature.Seral.CWHvm_HW_FDC_H.young,,9
6,feature.Seral.immature,,55
6,feature.Seral.mature,,56
6,feature.Seral.overmature,,57
6,feature.Seral.regenerating,,8
6,feature.Seral.young,,9
6,feature.SpeciesProp.managed.BA,,58
6,feature.SpeciesProp.managed.CW,,150
6,feature.SpeciesProp.managed.DR,,60
6,feature.SpeciesProp.managed.FDC,,151
6,feature.SpeciesProp.managed.HW,,152
6,feature.SpeciesProp.managed.PL,,63
6,feature.SpeciesProp.managed.SS,,63
6,feature.Yield.managed.BA,,153
6,feature.Yield.managed.CW,,154
6,feature.Yield.managed.DR,,155
6,feature.Yield.managed.FDC,,156
6,feature.Yield.managed.HW,,157
6,feature.Yield.managed.PL,,158
6,feature.Yield.managed.SS,,158
6,feature.Yield.managed.Total,,159
7,feature.Area.og1.CWHvm_DR_HW_M,,22
7,feature.Area.og1.total,,22
7,feature.Area.og2.CWHvm_DR_HW_M,,23
7,feature.Area.og2.total,,23
7,feature.Area.unmanaged,,21
7,feature.Height.unmanaged.CWHvm_DR_HW_M,,170
7,feature.QMD.unmanaged.CWHvm_DR_HW_M,,4
