CURVE,X,Y
1581,0,0.001
548,0,0.00102
575,0,0.0015
535,0,0.00102
343,0,0.001
990,0,0.00153
755,0,0.00153
540,0,0.00153
276,0,0.0015
627,0,0.00195
418,0,0.002
304,0,0.002
205,0,0.002
116,0,0.00195
98,0,0.00195
971,0,0.00214
592,0,0.0022
686,0,0.00234
603,0,0.0022
202,0,0.0022
114,0,0.00214
1178,0,0.0024
628,0,0.00234
305,0,0.0024
2788,0,0.00909
2364,0,0.00909
1204,0,0.00955
206,0,0.0024
99,0,0.00234
95,0,0.00214
687,0,0.00974
456,0,0.00955
1884,0,0.00974
484,0,0.0098
956,0,0.0098
485,0,0.01
2338,0,0.0125
779,0,0.0161
604,0,0.01
207,0,0.01
200,0,0.0098
100,0,0.00974
93,0,0.00955
63,0,0.0015
764,0,0.01643
1846,0,0.01761
537,0,0.01643
267,0,0.0161
60,0,0.0161
58,0,0.001
549,0,0.02602
753,0,0.02602
593,0,0.036
536,0,0.02602
303,0,0.036
2780,0,0.04546
2366,0,0.04546
846,0,0.05
2425,0,0.05
2339,0,0.0625
1137,0,0.06775
797,0,0.05
203,0,0.036
178,0,0.01761
14,0,0.01761
2538,0,0.07273
2367,0,0.07273
1795,0,0.08889
1292,0,0.06775
861,0,0.08889
880,0,0.09799
626,0,0.09743
317,0,0.09799
237,0,0.09743
1793,0,0.11111
859,0,0.11111
2424,0,0.125
1138,0,0.1355
840,0,0.125
151,0,0.09799
96,0,0.09743
2889,0,0.14699
2537,0,0.14546
2365,0,0.14546
1294,0,0.1355
266,0,0.14699
1794,0,0.17778
860,0,0.17778
879,0,0.19598
625,0,0.19486
316,0,0.19598
236,0,0.19486
2789,0,0.21818
2369,0,0.21818
1166,0,0.24498
796,0,0.2
150,0,0.19598
94,0,0.19486
1412,0,0.25
2472,0,0.3
2472,1,0.3
2472,299,89.7
532,0,0.3
532,1,0.3
532,299,89.7
369,0,0.24498
1145,0,0.30488
2341,0,0.3
1742,0,0.3
1742,1,0.3
1742,299,89.7
752,0,0.3
752,1,0.3
752,299,89.7
2347,0,0.3
2873,0,0.3
2873,1,0.3
2873,299,89.7
2310,0,0.3
2310,1,0.3
2310,299,89.7
263,0,0.3
263,1,0.3
263,299,89.7
62,0,0.24498
59,0,0.14699
13,0,0.1355
1411,0,0.35
1293,0,0.30488
591,0,0.3656
302,0,0.3656
754,0,0.37532
727,0,0.37532
538,0,0.37532
201,0,0.3656
30,0,0.47425
177,0,0.47425
650,0,0.5
650,1,0.5
650,299,149.5
170,0,0.5
170,1,0.5
170,299,149.5
12,0,0.47425
11,0,0.30488
10,0,0.06775
2368,0,0.50909
795,0,0.55
417,0,0.572
1641,0,0.572
2164,0,0.57815
550,0,0.57815
539,0,0.57815
268,0,0.58794
204,0,0.572
2340,0,0.6125
862,0,0.62222
115,0,0.682
1073,0,0.68593
238,0,0.682
1991,0,0.7
1991,1,0.7
1991,299,209.3
414,0,0.7
414,1,0.7
414,299,209.3
326,0,0.68593
2101,0,0.7
2101,1,0.7
2101,299,209.3
847,0,0.825
841,0,0.825
1428,0,0.7
1428,1,0.7
1428,299,209.3
1761,0,0.7
1761,1,0.7
1761,299,209.3
315,0,0.7
315,1,0.7
315,299,209.3
152,0,0.68593
97,0,0.682
61,0,0.58794
21,0,1
28,0,1
28,5,1
28,6,0
1227,0,0.5
1227,1,0.5
1227,299,149.5
2335,0,0.5
2335,1,0.5
2335,299,149.5
3,0,0.5
3,1,0.5
3,299,149.5
358,79,0
588,79,0
588,80,0.001
776,79,0
776,80,0.00102
590,79,0
590,80,0.0015
568,79,0
568,80,0.00102
2329,79,0
2329,80,0.00153
1990,79,0
1990,80,0.0015
2714,79,0
2714,80,0.00153
1225,79,0
1225,80,0.00195
573,79,0
573,80,0.00153
945,79,0
945,80,0.00195
478,79,0
478,80,0.00195
2275,79,0
2275,80,0.002
1223,79,0
1223,80,0.00214
2095,79,0
2095,80,0.00214
1201,79,0
1201,80,0.0022
475,79,0
475,80,0.00214
453,79,0
453,80,0.002
2273,79,0
2273,80,0.0022
1226,79,0
1226,80,0.00234
1203,79,0
1203,80,0.0024
946,79,0
946,80,0.00234
479,79,0
479,80,0.00234
2798,79,0
2798,80,0.00909
2382,79,0
2382,80,0.00909
2276,79,0
2276,80,0.0024
1221,79,0
1221,80,0.00955
