TRACK,TREATMENT,LABEL,FUTURE,ADJUST,METHOD,CURVE
2,CC,product.HarvestedVolume.managed.CW.CC,0,R,,37
2,CC,product.HarvestedVolume.managed.DR.CC,0,R,,38
2,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,39
2,CC,product.HarvestedVolume.managed.HW.CC,0,R,,40
2,CC,product.HarvestedVolume.managed.SS.CC,0,R,,41
2,CC,product.HarvestedVolume.managed.Total.CC,0,R,,42
2,CC,product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,0,R,,43
2,CC,product.Seral.area.immature.CWHvm_DR_HW_M.CC,0,R,,44
2,CC,product.Seral.area.mature.CWHvm_DR_HW_M.CC,0,R,,45
2,CC,product.Seral.area.overmature.CWHvm_DR_HW_M.CC,0,R,,46
2,CC,product.Seral.area.regenerating.CWHvm_DR_HW_M.CC,0,R,,43
2,CC,product.Seral.area.young.CWHvm_DR_HW_M.CC,0,R,,43
2,CC,product.SpeciesProp.managed.CW,0,R,,47
2,CC,product.SpeciesProp.managed.DR,0,R,,48
2,CC,product.SpeciesProp.managed.FDC,0,R,,49
2,CC,product.SpeciesProp.managed.HW,0,R,,50
2,CC,product.SpeciesProp.managed.SS,0,R,,51
2,CC,product.Treated.managed.CC,0,R,,52
2,CC,product.Treated.managed.CWHvm_DR_HW_M.CC,0,R,,52
2,CC,product.Yield.managed.CW,0,R,,37
2,CC,product.Yield.managed.DR,0,R,,38
2,CC,product.Yield.managed.FDC,0,R,,39
2,CC,product.Yield.managed.HW,0,R,,40
2,CC,product.Yield.managed.SS,0,R,,41
2,CC,product.Yield.managed.Total,0,R,,42
3,CC,product.HarvestedVolume.managed.BA.CC,0,R,,71
3,CC,product.HarvestedVolume.managed.CW.CC,0,R,,72
3,CC,product.HarvestedVolume.managed.DR.CC,0,R,,73
3,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,74
3,CC,product.HarvestedVolume.managed.HW.CC,0,R,,75
3,CC,product.HarvestedVolume.managed.PL.CC,0,R,,76
3,CC,product.HarvestedVolume.managed.SS.CC,0,R,,76
3,CC,product.HarvestedVolume.managed.Total.CC,0,R,,77
3,CC,product.QMDNumerator.managed.CWHvm_FDC_HW_H.CC,0,R,,78
3,CC,product.Seral.area.immature.CWHvm_FDC_HW_H.CC,0,R,,79
3,CC,product.Seral.area.mature.CWHvm_FDC_HW_H.CC,0,R,,80
3,CC,product.Seral.area.overmature.CWHvm_FDC_HW_H.CC,0,R,,81
3,CC,product.Seral.area.regenerating.CWHvm_FDC_HW_H.CC,0,R,,78
3,CC,product.Seral.area.young.CWHvm_FDC_HW_H.CC,0,R,,78
3,CC,product.SpeciesProp.managed.BA,0,R,,82
3,CC,product.SpeciesProp.managed.CW,0,R,,83
3,CC,product.SpeciesProp.managed.DR,0,R,,84
3,CC,product.SpeciesProp.managed.FDC,0,R,,85
3,CC,product.SpeciesProp.managed.HW,0,R,,86
3,CC,product.SpeciesProp.managed.PL,0,R,,87
3,CC,product.SpeciesProp.managed.SS,0,R,,87
3,CC,product.Treated.managed.CC,0,R,,88
3,CC,product.Treated.managed.CWHvm_FDC_HW_H.CC,0,R,,88
3,CC,product.Yield.managed.BA,0,R,,71
3,CC,product.Yield.managed.CW,0,R,,72
3,CC,product.Yield.managed.DR,0,R,,73
3,CC,product.Yield.managed.FDC,0,R,,74
3,CC,product.Yield.managed.HW,0,R,,75
3,CC,product.Yield.managed.PL,0,R,,76
3,CC,product.Yield.managed.SS,0,R,,76
3,CC,product.Yield.managed.Total,0,R,,77
5,CC,product.HarvestedVolume.managed.BA.CC,0,R,,126
5,CC,product.HarvestedVolume.managed.CW.CC,0,R,,127
5,CC,product.HarvestedVolume.managed.DR.CC,0,R,,128
5,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,129
5,CC,product.HarvestedVolume.managed.HW.CC,0,R,,130
5,CC,product.HarvestedVolume.managed.PLC.CC,0,R,,131
5,CC,product.HarvestedVolume.managed.SS.CC,0,R,,132
5,CC,product.HarvestedVolume.managed.Total.CC,0,R,,133
5,CC,product.HarvestedVolume.managed.YC.CC,0,R,,134
5,CC,product.QMDNumerator.managed.CWHvm_HW_CW_M.CC,0,R,,135
5,CC,product.Seral.area.immature.CWHvm_HW_CW_M.CC,0,R,,136
5,CC,product.Seral.area.mature.CWHvm_HW_CW_M.CC,0,R,,137
5,CC,product.Seral.area.overmature.CWHvm_HW_CW_M.CC,0,R,,138
5,CC,product.Seral.area.regenerating.CWHvm_HW_CW_M.CC,0,R,,135
5,CC,product.Seral.area.young.CWHvm_HW_CW_M.CC,0,R,,135
5,CC,product.SpeciesProp.managed.BA,0,R,,139
5,CC,product.SpeciesProp.managed.CW,0,R,,140
5,CC,product.SpeciesProp.managed.DR,0,R,,141
5,CC,product.SpeciesProp.managed.FDC,0,R,,142
5,CC,product.SpeciesProp.managed.HW,0,R,,143
5,CC,product.SpeciesProp.managed.PLC,0,R,,144
5,CC,product.SpeciesProp.managed.SS,0,R,,145
5,CC,product.SpeciesProp.managed.YC,0,R,,146
5,CC,product.Treated.managed.CC,0,R,,147
5,CC,product.Treated.managed.CWHvm_HW_CW_M.CC,0,R,,147
5,CC,product.Yield.managed.BA,0,R,,126
5,CC,product.Yield.managed.CW,0,R,,127
5,CC,product.Yield.managed.DR,0,R,,128
5,CC,product.Yield.managed.FDC,0,R,,129
5,CC,product.Yield.managed.HW,0,R,,130
5,CC,product.Yield.managed.PLC,0,R,,131
5,CC,product.Yield.managed.SS,0,R,,132
5,CC,product.Yield.managed.Total,0,R,,133
5,CC,product.Yield.managed.YC,0,R,,134
6,CC,product.HarvestedVolume.managed.BA.CC,0,R,,160
6,CC,product.HarvestedVolume.managed.CW.CC,0,R,,161
6,CC,product.HarvestedVolume.managed.DR.CC,0,R,,162
6,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,163
6,CC,product.HarvestedVolume.managed.HW.CC,0,R,,164
6,CC,product.HarvestedVolume.managed.PL.CC,0,R,,165
6,CC,product.HarvestedVolume.managed.SS.CC,0,R,,165
6,CC,product.HarvestedVolume.managed.Total.CC,0,R,,166
6,CC,product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,0,R,,78
6,CC,product.Seral.area.immature.CWHvm_HW_FDC_H.CC,0,R,,79
