CURVE,X,Y
2123,0,0.001
6389,0,0.00102
7216,0,0.00102
1638,0,0.00102
931,0,0.001
766,0,0.0015
3149,0,0.00153
1655,0,0.00153
1643,0,0.00153
1335,0,0.00195
1040,0,0.0015
6872,0,0.002
1870,0,0.00195
858,0,0.002
3766,0,0.00214
535,0,0.002
228,0,0.00195
5539,0,0.00214
4295,0,0.0022
4384,0,0.00234
1431,0,0.0022
532,0,0.0022
4296,0,0.0024
3076,0,0.00234
859,0,0.0024
8817,0,0.00909
4383,0,0.00955
536,0,0.0024
229,0,0.00234
225,0,0.00214
1867,0,0.00955
5540,0,0.00974
4294,0,0.0098
3499,0,0.0098
1793,0,0.01
8745,0,0.0125
2845,0,0.01
2124,0,0.0161
537,0,0.01
530,0,0.0098
242,0,0.00974
230,0,0.00974
223,0,0.00955
125,0,0.0015
6333,0,0.0161
5004,0,0.01643
1654,0,0.01643
1640,0,0.01643
122,0,0.0161
120,0,0.001
3866,0,0.02602
3876,0,0.02602
3306,0,0.036
1639,0,0.02602
857,0,0.036
9058,0,0.05
8819,0,0.04546
8746,0,0.0625
2616,0,0.05
2423,0,0.05
533,0,0.036
32,0,0.06775
14,0,0.01761
9666,0,0.07273
8820,0,0.07273
9207,0,0.08889
2668,0,0.08889
2052,0,0.09743
2441,0,0.09799
1869,0,0.09743
873,0,0.09799
6594,0,0.11111
9051,0,0.125
2666,0,0.11111
2607,0,0.125
359,0,0.09799
226,0,0.09743
35,0,0.1355
9665,0,0.14546
8818,0,0.14546
1028,0,0.14699
751,0,0.14699
9206,0,0.17778
2667,0,0.17778
2051,0,0.19486
2440,0,0.19598
1868,0,0.19486
872,0,0.19598
9655,0,0.21818
8822,0,0.21818
2422,0,0.2
4991,0,0.2
4991,1,0.2
4991,10,1.9
4991,20,3.9
4991,30,5.8
4991,40,7.8
4991,60,11.6
4991,70,13.6
4991,80,15.5
4991,90,17.5
4991,110,21.3
4991,120,23.3
4991,130,25.2
4991,140,27.2
4991,160,31
4991,170,33
4991,180,34.9
4991,190,36.9
4991,210,40.7
4991,220,42.7
4991,230,44.6
4991,240,46.6
4991,260,50.4
4991,270,52.4
4991,280,54.3
4991,290,56.3
4991,299,58
2416,0,0.2
2416,1,0.2
2416,10,1.7
2416,290,49.3
2416,299,50.8
753,0,0.24498
358,0,0.19598
224,0,0.19486
4997,0,0.25
8757,0,0.3
3304,0,0.3
3304,1,0.3
3304,10,3.3
3304,20,6.5
3304,30,9.8
3304,40,13
3304,60,19.6
3304,70,22.8
3304,80,26.1
3304,90,29.3
3304,110,35.9
3304,120,39.1
3304,130,42.4
3304,140,45.6
3304,160,52.2
3304,170,55.4
3304,180,58.7
3304,190,61.9
3304,210,68.5
3304,220,71.7
3304,230,75
3304,240,78.2
3304,260,84.8
3304,270,88
3304,280,91.3
3304,290,94.5
3304,299,97.5
2726,0,0.24498
