CURVE,X,Y
734,0,0.00102
533,0,0.00102
395,0,0.0015
873,0,0.00153
614,0,0.00153
538,0,0.00153
374,0,0.00195
239,0,0.002
148,0,0.00195
130,0,0.00195
236,0,0.0022
145,0,0.00214
354,0,0.0024
835,0,0.00909
798,0,0.00955
240,0,0.0024
149,0,0.00234
131,0,0.00234
127,0,0.00214
143,0,0.00955
811,0,0.0125
256,0,0.01
241,0,0.01
234,0,0.0098
132,0,0.00974
125,0,0.00955
78,0,0.0015
67,0,0.0015
550,0,0.01643
623,0,0.01643
535,0,0.01643
76,0,0.0161
64,0,0.0161
62,0,0.001
549,0,0.02602
612,0,0.02602
534,0,0.02602
837,0,0.04546
677,0,0.04762
812,0,0.0625
650,0,0.05
255,0,0.036
237,0,0.036
34,0,0.01761
14,0,0.01761
838,0,0.07273
774,0,0.08333
712,0,0.08889
710,0,0.11111
692,0,0.125
215,0,0.1
193,0,0.09799
183,0,0.09799
146,0,0.09743
128,0,0.09743
30,0,0.06775
836,0,0.14546
678,0,0.14286
775,0,0.16667
711,0,0.17778
449,0,0.2
192,0,0.19598
182,0,0.19598
144,0,0.19486
126,0,0.19486
840,0,0.21818
676,0,0.2381
106,0,0.2
769,0,0.25
312,0,0.24498
231,0,0.3
231,1,0.3
231,299,89.7
309,0,0.3
309,1,0.3
309,299,89.7
216,0,0.3
392,0,0.3
392,1,0.3
392,299,89.7
66,0,0.24498
63,0,0.14699
33,0,0.1355
13,0,0.1355
768,0,0.35
726,0,0.37532
613,0,0.37532
536,0,0.37532
254,0,0.3656
235,0,0.3656
31,0,0.30488
32,0,0.47425
12,0,0.47425
11,0,0.30488
10,0,0.06775
839,0,0.50909
675,0,0.57143
649,0,0.55
467,0,0.572
776,0,0.58333
624,0,0.57815
537,0,0.57815
238,0,0.572
575,0,0.5
575,1,0.5
575,299,149.5
344,0,0.5
344,1,0.5
344,299,149.5
121,0,0.5
121,1,0.5
121,299,149.5
813,0,0.6125
799,0,0.682
713,0,0.62222
214,0,0.6
147,0,0.682
194,0,0.68593
184,0,0.68593
129,0,0.682
77,0,0.58794
65,0,0.58794
611,0,0.7
611,1,0.7
611,299,209.3
450,0,0.8
698,0,0.825
693,0,0.825
107,0,0.8
58,0,0.7
58,1,0.7
58,299,209.3
645,0,0.5
645,1,0.5
645,299,149.5
3,0,0.5
3,1,0.5
3,299,149.5
104,9,0
105,9,0
105,10,1
105,11,0
417,79,0
568,79,0
568,80,0.00102
573,79,0
573,80,0.00153
530,79,0
530,80,0.00195
527,79,0
527,80,0.00214
506,79,0
506,80,0.002
531,79,0
531,80,0.00234
853,79,0
853,80,0.00909
532,79,0
532,80,0.00974
525,79,0
525,80,0.00955
507,79,0
507,80,0.0024
503,79,0
503,80,0.0022
831,79,0
831,80,0.0125
508,79,0
508,80,0.01
501,79,0
501,80,0.0098
426,79,0
426,80,0.0015
570,79,0
570,80,0.01643
569,79,0
569,80,0.02602
855,79,0
855,80,0.04546
856,79,0
856,80,0.07273
832,79,0
832,80,0.0625
724,79,0
724,80,0.08889
708,79,0
708,80,0.05
528,79,0
528,80,0.09743
504,79,0
504,80,0.036
722,79,0
722,80,0.11111
854,79,0
854,80,0.14546
723,79,0
723,80,0.17778
707,79,0
707,80,0.125
526,79,0
526,80,0.19486
424,79,0
424,80,0.09799
423,79,0
423,80,0.0161
858,79,0
858,80,0.21818
834,79,0
834,80,0.3
857,79,0
857,80,0.50909
571,79,0
571,80,0.37532
572,79,0
572,80,0.57815
558,79,0
558,80,0.6
558,110,0.9
558,120,0.9
558,130,1
505,79,0
505,80,0.572
502,79,0
502,80,0.3656
422,79,0
422,80,0.19598
421,79,0
421,80,0.001
833,79,0
833,80,0.6125
725,79,0
725,80,0.62222
529,79,0
529,80,0.682
709,79,0
709,80,0.825
425,79,0
425,80,0.68593
574,79,0
574,80,1
565,79,0
565,80,1
565,100,1
565,101,0
522,79,0
522,80,1.1
522,90,1.3
522,100,1.4
522,110,1.6
522,130,1.8
519,79,0
519,80,1.2
519,100,1.6
519,110,1.7
519,120,1.9
519,130,2
495,79,0
495,80,1.2
495,90,1.3
495,100,1.5
495,120,1.7
495,130,1.9
517,79,0
517,80,5.5
517,90,6.3
517,110,7.7
517,130,8.9
523,79,0
523,80,1.4
523,90,1.6
523,100,1.7
523,110,1.9
523,120,2
523,130,2.2
496,79,0
496,80,1.4
496,100,1.8
496,110,1.9
496,120,2.1
496,130,2.2
492,79,0
492,80,1.3
492,90,1.5
492,100,1.6
492,110,1.8
492,130,2
847,79,0
847,80,8.3
847,90,9.5
847,100,10.5
498,79,0
498,80,5.8
498,100,7.4
498,110,8.1
498,130,9.3
524,79,0
524,80,5.7
524,90,6.5
524,110,7.9
524,120,8.5
524,130,9
490,79,0
490,80,5.7
490,90,6.5
490,110,7.9
490,130,9.1
427,79,0
427,80,1
418,79,0
418,80,1
418,100,1
418,101,0
563,79,0
563,80,0.9
563,90,1.1
563,140,1.6
415,79,0
415,80,0.9
415,90,1
415,100,1.2
415,130,1.5
824,79,0
824,80,11.5
824,100,14.5
560,79,0
560,80,9.9
560,90,11.3
560,100,12.6
560,110,13.8
560,120,14.9
560,130,15.9
560,140,16.8
559,79,0
559,80,15.7
559,90,17.9
559,100,20
559,110,21.9
559,120,23.6
559,130,25.2
559,140,26.7
849,79,0
849,80,41.7
849,90,47.3
849,100,52.7
720,79,0
720,80,44.8
720,90,51.1
720,100,57.1
720,110,62.4
720,120,67.3
720,130,71.9
720,140,76.1
718,79,0
718,80,56
718,90,63.9
718,100,71.4
718,110,78
718,120,84.2
718,130,89.8
718,140,95.1
704,79,0
704,80,25.2
704,90,28.7
704,100,32.1
704,110,35.1
704,120,37.9
704,130,40.4
704,140,42.8
825,79,0
825,80,57.4
825,90,65.1
825,100,72.5
520,79,0
520,80,56.6
520,90,64.6
520,100,71.9
520,110,78.6
520,120,84.8
520,130,90.5
493,79,0
493,80,20.9
493,90,23.9
493,100,26.6
493,110,29
493,120,31.3
493,130,33.4
850,79,0
850,80,66.7
850,90,75.7
850,100,84.4
719,79,0
719,80,89.6
719,90,102.2
719,100,114.2
719,110,124.8
719,120,134.6
719,130,143.7
719,140,152.2
703,79,0
703,80,63
703,90,71.9
703,100,80.3
703,110,87.7
703,120,94.7
703,130,101.1
703,140,107
518,79,0
518,80,113.3
518,90,129.3
518,100,143.8
518,110,157.2
518,120,169.7
518,130,180.9
413,79,0
413,80,59.2
413,90,67.4
413,100,75.3
413,110,82.4
413,120,88.9
413,130,94.9
413,140,100.4
412,79,0
412,80,9.7
412,90,11.1
412,100,12.4
412,120,14.6
412,130,15.6
412,140,16.5
852,79,0
852,80,200.2
852,90,227.1
852,100,253.1
848,79,0
848,80,133.5
848,90,151.4
848,100,168.7
827,79,0
827,80,275.3
827,90,312.3
827,100,348
721,79,0
721,80,313.8
721,90,357.7
721,100,399.5
721,110,436.6
721,120,471.3
721,130,503.1
721,140,532.5
561,79,0
561,80,226.6
561,90,258.3
561,100,288.6
561,110,315.4
561,120,340.4
561,130,363.3
561,140,384.7
562,79,0
562,80,349.2
562,90,397.9
562,100,444.5
562,110,485.8
562,120,524.3
562,130,559.7
562,140,592.5
521,79,0
521,80,396.4
521,90,452.4
521,100,503.3
521,110,549.9
521,120,593.8
521,130,633.3
494,79,0
494,80,332.4
494,90,379.5
494,100,422
494,110,461.3
494,120,498.2
494,130,531.2
491,79,0
491,80,212.5
491,90,242.5
491,100,269.8
491,110,294.9
491,120,318.3
491,130,339.5
851,79,0
851,80,467.4
851,90,530.1
851,100,590.5
826,79,0
826,80,562.1
826,90,637.7
826,100,710.4
706,79,0
706,80,504.2
706,90,574.9
706,100,642.2
706,110,701.8
706,120,757.4
706,130,808.5
706,140,855.9
705,79,0
705,80,416
705,90,474.3
705,100,529.8
705,110,579
705,120,624.8
705,130,667
705,140,706.1
497,79,0
497,80,581.2
497,90,663.4
497,100,737.9
497,110,806.5
497,120,870.7
497,130,928.6
828,79,0
828,80,917.8
828,90,1041.1
828,100,1159.9
830,79,0
830,101,0
830,102,1
500,79,0
500,130,0
500,131,1
567,79,0
567,140,0
567,141,1
420,79,0
420,140,0
420,141,1
566,79,0
566,100,0
566,101,1
566,140,1
566,141,0
829,79,0
829,100,0
829,101,1
829,102,0
499,79,0
499,100,0
499,101,1
499,130,1
499,131,0
419,79,0
419,100,0
419,101,1
419,140,1
419,141,0
564,79,0
564,80,603.8
564,90,688.3
564,100,768.9
564,110,840.4
564,120,906.9
564,130,968.1
564,140,1024.9
416,79,0
416,80,603.8
416,90,688.3
416,100,768.9
416,110,840.4
416,120,906.9
416,130,968.1
416,140,1024.9
414,79,0
414,80,414.2
414,90,472.1
414,100,527.4
414,110,576.5
414,120,622.1
414,130,664
414,140,703
411,79,0
411,80,118.3
411,90,134.9
411,100,150.7
411,110,164.7
411,120,177.7
411,130,189.7
411,140,200.9
410,79,0
410,80,0.6
410,100,0.8
410,110,0.8
410,130,1
168,89,0
749,89,0
749,90,0.00102
754,89,0
754,90,0.00153
342,89,0
342,90,0.0015
337,89,0
337,90,0.001
608,89,0
608,90,0.002
177,89,0
177,90,0.00195
605,89,0
605,90,0.0022
609,89,0
609,90,0.0024
178,89,0
178,90,0.00234
174,89,0
174,90,0.00214
610,89,0
610,90,0.01
603,89,0
603,90,0.0098
751,89,0
