TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.CWHvm_DR_HW_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.CWHvm_DR_HW_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.Seral.CWHvm_DR_HW_M.immature,,3
1,feature.Seral.CWHvm_DR_HW_M.mature,,4
1,feature.Seral.CWHvm_DR_HW_M.overmature,,5
1,feature.Seral.CWHvm_DR_HW_M.regenerating,,6
1,feature.Seral.CWHvm_DR_HW_M.young,,7
1,feature.Seral.immature,,3
1,feature.Seral.mature,,4
1,feature.Seral.overmature,,5
1,feature.Seral.regenerating,,6
1,feature.Seral.young,,7
1,feature.SpeciesProp.unmanaged.CW,,8
1,feature.SpeciesProp.unmanaged.FDC,,9
1,feature.SpeciesProp.unmanaged.HW,,10
1,feature.Yield.unmanaged.CW,,11
1,feature.Yield.unmanaged.FDC,,12
1,feature.Yield.unmanaged.HW,,13
1,feature.Yield.unmanaged.Total,,14
2,feature.Area.managed,,2
2,feature.Area.og1.CWHvm_DR_HW_M,,0
2,feature.Area.og1.total,,0
2,feature.Area.og2.CWHvm_DR_HW_M,,1
2,feature.Area.og2.total,,1
2,feature.Seral.CWHvm_DR_HW_M.immature,,3
2,feature.Seral.CWHvm_DR_HW_M.mature,,4
2,feature.Seral.CWHvm_DR_HW_M.overmature,,5
2,feature.Seral.CWHvm_DR_HW_M.regenerating,,6
2,feature.Seral.CWHvm_DR_HW_M.young,,7
2,feature.Seral.immature,,3
2,feature.Seral.mature,,4
2,feature.Seral.overmature,,5
2,feature.Seral.regenerating,,6
2,feature.Seral.young,,7
2,feature.SpeciesProp.managed.CW,,8
2,feature.SpeciesProp.managed.FDC,,15
2,feature.SpeciesProp.managed.HW,,10
2,feature.Yield.managed.CW,,16
2,feature.Yield.managed.FDC,,17
2,feature.Yield.managed.HW,,18
2,feature.Yield.managed.Total,,19
3,feature.Area.og1.CWHvm_FDC_HW_H,,32
3,feature.Area.og1.total,,32
3,feature.Area.og2.CWHvm_FDC_HW_H,,1
3,feature.Area.og2.total,,1
3,feature.Area.unmanaged,,2
3,feature.Seral.CWHvm_FDC_HW_H.immature,,33
3,feature.Seral.CWHvm_FDC_HW_H.mature,,34
3,feature.Seral.CWHvm_FDC_HW_H.overmature,,35
3,feature.Seral.CWHvm_FDC_HW_H.regenerating,,6
3,feature.Seral.CWHvm_FDC_HW_H.young,,7
3,feature.Seral.immature,,33
3,feature.Seral.mature,,34
3,feature.Seral.overmature,,35
3,feature.Seral.regenerating,,6
3,feature.Seral.young,,7
3,feature.SpeciesProp.unmanaged.CW,,36
3,feature.SpeciesProp.unmanaged.FDC,,37
3,feature.SpeciesProp.unmanaged.HW,,38
3,feature.Yield.unmanaged.CW,,39
3,feature.Yield.unmanaged.FDC,,40
3,feature.Yield.unmanaged.HW,,41
3,feature.Yield.unmanaged.Total,,42
4,feature.Area.managed,,2
4,feature.Area.og1.CWHvm_FDC_HW_H,,32
4,feature.Area.og1.total,,32
4,feature.Area.og2.CWHvm_FDC_HW_H,,1
4,feature.Area.og2.total,,1
4,feature.Seral.CWHvm_FDC_HW_H.immature,,33
4,feature.Seral.CWHvm_FDC_HW_H.mature,,34
4,feature.Seral.CWHvm_FDC_HW_H.overmature,,35
4,feature.Seral.CWHvm_FDC_HW_H.regenerating,,6
4,feature.Seral.CWHvm_FDC_HW_H.young,,7
4,feature.Seral.immature,,33
4,feature.Seral.mature,,34
4,feature.Seral.overmature,,35
4,feature.Seral.regenerating,,6
4,feature.Seral.young,,7
4,feature.SpeciesProp.managed.CW,,36
4,feature.SpeciesProp.managed.FDC,,37
4,feature.SpeciesProp.managed.HW,,38
4,feature.Yield.managed.CW,,43
4,feature.Yield.managed.FDC,,44
4,feature.Yield.managed.HW,,45
4,feature.Yield.managed.Total,,46
5,feature.Area.managed,,2
5,feature.Area.og1.CWHvm_FDC_HW_H,,32
5,feature.Area.og1.total,,32
5,feature.Area.og2.CWHvm_FDC_HW_H,,1
5,feature.Area.og2.total,,1
5,feature.SpeciesProp.managed.CW,,60
5,feature.SpeciesProp.managed.FDC,,61
5,feature.Yield.managed.CW,,62
5,feature.Yield.managed.FDC,,63
5,feature.Yield.managed.Total,,46
6,feature.Area.og1.CWHvm_HW_CW_M,,68
6,feature.Area.og1.total,,68
6,feature.Area.og2.CWHvm_HW_CW_M,,1
6,feature.Area.og2.total,,1
6,feature.Area.unmanaged,,2
6,feature.Seral.CWHvm_HW_CW_M.immature,,69
6,feature.Seral.CWHvm_HW_CW_M.mature,,70
6,feature.Seral.CWHvm_HW_CW_M.overmature,,71
6,feature.Seral.CWHvm_HW_CW_M.regenerating,,6
6,feature.Seral.CWHvm_HW_CW_M.young,,7
6,feature.Seral.immature,,69
6,feature.Seral.mature,,70
6,feature.Seral.overmature,,71
6,feature.Seral.regenerating,,6
6,feature.Seral.young,,7
6,feature.SpeciesProp.unmanaged.CW,,10
6,feature.SpeciesProp.unmanaged.FDC,,8
6,feature.SpeciesProp.unmanaged.HW,,72
6,feature.Yield.unmanaged.CW,,73
6,feature.Yield.unmanaged.FDC,,74
6,feature.Yield.unmanaged.HW,,75
6,feature.Yield.unmanaged.Total,,76
7,feature.Area.managed,,77
7,feature.Area.og1.CWHvm_HW_CW_M,,78
7,feature.Area.og1.total,,78
7,feature.Area.og2.CWHvm_HW_CW_M,,79
7,feature.Area.og2.total,,79
7,feature.Seral.CWHvm_HW_CW_M.immature,,80
7,feature.Seral.CWHvm_HW_CW_M.mature,,81
7,feature.Seral.CWHvm_HW_CW_M.overmature,,82
7,feature.Seral.CWHvm_HW_CW_M.regenerating,,83
7,feature.Seral.CWHvm_HW_CW_M.young,,84
7,feature.Seral.immature,,80
7,feature.Seral.mature,,81
7,feature.Seral.overmature,,82
7,feature.Seral.regenerating,,83
7,feature.Seral.young,,84
7,feature.SpeciesProp.managed.CW,,85
7,feature.SpeciesProp.managed.FDC,,86
7,feature.SpeciesProp.managed.HW,,9
7,feature.Yield.managed.CW,,87
7,feature.Yield.managed.FDC,,88
7,feature.Yield.managed.HW,,89
7,feature.Yield.managed.Total,,90
8,feature.Area.og1.CWHvm_HW_FDC_H,,103
8,feature.Area.og1.total,,103
8,feature.Area.og2.CWHvm_HW_FDC_H,,1
8,feature.Area.og2.total,,1
8,feature.Area.unmanaged,,2
8,feature.Seral.CWHvm_HW_FDC_H.immature,,33
8,feature.Seral.CWHvm_HW_FDC_H.mature,,34
8,feature.Seral.CWHvm_HW_FDC_H.overmature,,35
8,feature.Seral.CWHvm_HW_FDC_H.regenerating,,6
8,feature.Seral.CWHvm_HW_FDC_H.young,,7
8,feature.Seral.immature,,33
8,feature.Seral.mature,,34
8,feature.Seral.overmature,,35
8,feature.Seral.regenerating,,6
8,feature.Seral.young,,7
8,feature.SpeciesProp.unmanaged.CW,,10
8,feature.SpeciesProp.unmanaged.FDC,,8
8,feature.SpeciesProp.unmanaged.HW,,9
8,feature.Yield.unmanaged.CW,,104
8,feature.Yield.unmanaged.FDC,,105
8,feature.Yield.unmanaged.HW,,106
8,feature.Yield.unmanaged.Total,,107
9,feature.Area.managed,,2
9,feature.Area.og1.CWHvm_HW_FDC_H,,103
9,feature.Area.og1.total,,103
9,feature.Area.og2.CWHvm_HW_FDC_H,,1
9,feature.Area.og2.total,,1
9,feature.Seral.CWHvm_HW_FDC_H.immature,,33
9,feature.Seral.CWHvm_HW_FDC_H.mature,,34
9,feature.Seral.CWHvm_HW_FDC_H.overmature,,35
9,feature.Seral.CWHvm_HW_FDC_H.regenerating,,6
9,feature.Seral.CWHvm_HW_FDC_H.young,,7
9,feature.Seral.immature,,33
9,feature.Seral.mature,,34
9,feature.Seral.overmature,,35
9,feature.Seral.regenerating,,6
9,feature.Seral.young,,7
9,feature.SpeciesProp.managed.CW,,10
9,feature.SpeciesProp.managed.FDC,,8
9,feature.SpeciesProp.managed.HW,,9
9,feature.Yield.managed.CW,,108
9,feature.Yield.managed.FDC,,109
9,feature.Yield.managed.HW,,110
9,feature.Yield.managed.Total,,111
10,feature.Area.managed,,2
10,feature.Area.og1.CWHvm_HW_FDC_H,,103
10,feature.Area.og1.total,,103
10,feature.Area.og2.CWHvm_HW_FDC_H,,1
10,feature.Area.og2.total,,1
10,feature.SpeciesProp.managed.CW,,9
10,feature.SpeciesProp.managed.FDC,,119
10,feature.Yield.managed.CW,,120
10,feature.Yield.managed.FDC,,121
10,feature.Yield.managed.Total,,111
11,feature.Area.og1.CWHvm_DR_HW_M,,0
11,feature.Area.og1.total,,0
11,feature.Area.og2.CWHvm_DR_HW_M,,1
