CURVE,X,Y
736,0,0.00102
535,0,0.00102
397,0,0.0015
875,0,0.00153
616,0,0.00153
540,0,0.00153
376,0,0.00195
241,0,0.002
148,0,0.00195
130,0,0.00195
238,0,0.0022
145,0,0.00214
356,0,0.0024
837,0,0.00909
800,0,0.00955
242,0,0.0024
149,0,0.00234
131,0,0.00234
127,0,0.00214
143,0,0.00955
813,0,0.0125
258,0,0.01
243,0,0.01
236,0,0.0098
132,0,0.00974
125,0,0.00955
78,0,0.0015
67,0,0.0015
552,0,0.01643
625,0,0.01643
537,0,0.01643
76,0,0.0161
64,0,0.0161
62,0,0.001
551,0,0.02602
614,0,0.02602
536,0,0.02602
839,0,0.04546
679,0,0.04762
814,0,0.0625
652,0,0.05
257,0,0.036
239,0,0.036
34,0,0.01761
14,0,0.01761
840,0,0.07273
776,0,0.08333
714,0,0.08889
712,0,0.11111
694,0,0.125
215,0,0.1
193,0,0.09799
183,0,0.09799
146,0,0.09743
128,0,0.09743
30,0,0.06775
838,0,0.14546
680,0,0.14286
777,0,0.16667
713,0,0.17778
451,0,0.2
192,0,0.19598
182,0,0.19598
144,0,0.19486
126,0,0.19486
842,0,0.21818
678,0,0.2381
106,0,0.2
771,0,0.25
314,0,0.24498
233,0,0.3
233,1,0.3
233,299,89.7
311,0,0.3
311,1,0.3
311,299,89.7
214,0,0.3
394,0,0.3
394,1,0.3
394,299,89.7
66,0,0.24498
63,0,0.14699
33,0,0.1355
13,0,0.1355
770,0,0.35
728,0,0.37532
615,0,0.37532
538,0,0.37532
256,0,0.3656
237,0,0.3656
31,0,0.30488
32,0,0.47425
12,0,0.47425
11,0,0.30488
10,0,0.06775
841,0,0.50909
677,0,0.57143
651,0,0.55
469,0,0.572
778,0,0.58333
626,0,0.57815
539,0,0.57815
240,0,0.572
577,0,0.5
577,1,0.5
577,299,149.5
346,0,0.5
346,1,0.5
346,299,149.5
121,0,0.5
121,1,0.5
121,299,149.5
815,0,0.6125
801,0,0.682
715,0,0.62222
216,0,0.6
147,0,0.682
194,0,0.68593
184,0,0.68593
129,0,0.682
77,0,0.58794
65,0,0.58794
613,0,0.7
613,1,0.7
613,299,209.3
452,0,0.8
700,0,0.825
695,0,0.825
107,0,0.8
58,0,0.7
58,1,0.7
58,299,209.3
647,0,0.5
647,1,0.5
647,299,149.5
3,0,0.5
3,1,0.5
3,299,149.5
104,9,0
105,9,0
105,10,1
105,11,0
419,79,0
570,79,0
570,80,0.00102
575,79,0
575,80,0.00153
532,79,0
532,80,0.00195
529,79,0
529,80,0.00214
508,79,0
508,80,0.002
533,79,0
533,80,0.00234
855,79,0
855,80,0.00909
534,79,0
534,80,0.00974
527,79,0
527,80,0.00955
509,79,0
509,80,0.0024
505,79,0
505,80,0.0022
833,79,0
833,80,0.0125
510,79,0
510,80,0.01
503,79,0
503,80,0.0098
428,79,0
428,80,0.0015
572,79,0
572,80,0.01643
571,79,0
571,80,0.02602
857,79,0
857,80,0.04546
858,79,0
858,80,0.07273
834,79,0
834,80,0.0625
726,79,0
726,80,0.08889
710,79,0
710,80,0.05
530,79,0
530,80,0.09743
506,79,0
506,80,0.036
724,79,0
724,80,0.11111
856,79,0
856,80,0.14546
725,79,0
725,80,0.17778
709,79,0
709,80,0.125
528,79,0
528,80,0.19486
426,79,0
426,80,0.09799
425,79,0
425,80,0.0161
860,79,0
860,80,0.21818
836,79,0
836,80,0.3
859,79,0
859,80,0.50909
573,79,0
573,80,0.37532
574,79,0
574,80,0.57815
560,79,0
560,80,0.6
560,110,0.9
560,120,0.9
560,130,1
507,79,0
507,80,0.572
504,79,0
504,80,0.3656
424,79,0
424,80,0.19598
423,79,0
423,80,0.001
835,79,0
835,80,0.6125
727,79,0
727,80,0.62222
531,79,0
531,80,0.682
711,79,0
711,80,0.825
427,79,0
427,80,0.68593
576,79,0
576,80,1
567,79,0
567,80,1
567,100,1
567,101,0
524,79,0
524,80,1.1
524,90,1.3
524,100,1.4
524,110,1.6
524,130,1.8
521,79,0
521,80,1.2
521,100,1.6
521,110,1.7
521,120,1.9
521,130,2
497,79,0
497,80,1.2
497,90,1.3
497,100,1.5
497,120,1.7
497,130,1.9
519,79,0
519,80,5.5
519,90,6.3
519,110,7.7
519,130,8.9
525,79,0
525,80,1.4
525,90,1.6
525,100,1.7
525,110,1.9
525,120,2
525,130,2.2
498,79,0
498,80,1.4
498,100,1.8
498,110,1.9
498,120,2.1
498,130,2.2
494,79,0
494,80,1.3
494,90,1.5
494,100,1.6
494,110,1.8
494,130,2
849,79,0
849,80,8.3
849,90,9.5
849,100,10.5
500,79,0
500,80,5.8
500,100,7.4
500,110,8.1
500,130,9.3
526,79,0
526,80,5.7
