CURVE,X,Y
730,0,0.00102
529,0,0.00102
393,0,0.0015
870,0,0.00153
610,0,0.00153
534,0,0.00153
372,0,0.00195
237,0,0.002
148,0,0.00195
130,0,0.00195
234,0,0.0022
145,0,0.00214
352,0,0.0024
832,0,0.00909
794,0,0.00955
238,0,0.0024
149,0,0.00234
131,0,0.00234
127,0,0.00214
143,0,0.00955
807,0,0.0125
254,0,0.01
239,0,0.01
232,0,0.0098
132,0,0.00974
125,0,0.00955
78,0,0.0015
67,0,0.0015
546,0,0.01643
619,0,0.01643
531,0,0.01643
76,0,0.0161
64,0,0.0161
62,0,0.001
545,0,0.02602
608,0,0.02602
530,0,0.02602
834,0,0.04546
673,0,0.04762
808,0,0.0625
646,0,0.05
253,0,0.036
235,0,0.036
34,0,0.01761
14,0,0.01761
835,0,0.07273
770,0,0.08333
708,0,0.08889
706,0,0.11111
688,0,0.125
193,0,0.09799
183,0,0.09799
146,0,0.09743
128,0,0.09743
30,0,0.06775
833,0,0.14546
674,0,0.14286
771,0,0.16667
707,0,0.17778
215,0,0.2
192,0,0.19598
182,0,0.19598
144,0,0.19486
126,0,0.19486
837,0,0.21818
672,0,0.2381
106,0,0.2
765,0,0.25
310,0,0.24498
810,0,0.3
390,0,0.3
390,1,0.3
390,299,89.7
307,0,0.3
307,1,0.3
307,299,89.7
229,0,0.3
229,1,0.3
229,299,89.7
66,0,0.24498
63,0,0.14699
33,0,0.1355
13,0,0.1355
764,0,0.35
722,0,0.37532
609,0,0.37532
532,0,0.37532
252,0,0.3656
233,0,0.3656
214,0,0.4
31,0,0.30488
32,0,0.47425
12,0,0.47425
11,0,0.30488
10,0,0.06775
836,0,0.50909
671,0,0.57143
645,0,0.55
463,0,0.572
772,0,0.58333
620,0,0.57815
533,0,0.57815
236,0,0.572
571,0,0.5
571,1,0.5
571,299,149.5
342,0,0.5
342,1,0.5
342,299,149.5
121,0,0.5
121,1,0.5
121,299,149.5
809,0,0.6125
795,0,0.682
709,0,0.62222
147,0,0.682
194,0,0.68593
184,0,0.68593
129,0,0.682
77,0,0.58794
65,0,0.58794
607,0,0.7
607,1,0.7
607,299,209.3
447,0,0.8
694,0,0.825
689,0,0.825
107,0,0.8
58,0,0.7
58,1,0.7
58,299,209.3
641,0,0.5
641,1,0.5
641,299,149.5
3,0,0.5
3,1,0.5
3,299,149.5
104,9,0
105,9,0
105,10,1
105,11,0
415,79,0
564,79,0
564,80,0.00102
569,79,0
569,80,0.00153
526,79,0
526,80,0.00195
523,79,0
523,80,0.00214
502,79,0
502,80,0.002
527,79,0
527,80,0.00234
850,79,0
850,80,0.00909
528,79,0
528,80,0.00974
521,79,0
521,80,0.00955
503,79,0
503,80,0.0024
499,79,0
499,80,0.0022
828,79,0
828,80,0.0125
504,79,0
504,80,0.01
497,79,0
497,80,0.0098
424,79,0
424,80,0.0015
566,79,0
566,80,0.01643
565,79,0
565,80,0.02602
852,79,0
852,80,0.04546
853,79,0
853,80,0.07273
829,79,0
829,80,0.0625
720,79,0
720,80,0.08889
704,79,0
704,80,0.05
524,79,0
524,80,0.09743
500,79,0
500,80,0.036
718,79,0
718,80,0.11111
851,79,0
851,80,0.14546
719,79,0
719,80,0.17778
703,79,0
703,80,0.125
522,79,0
522,80,0.19486
422,79,0
422,80,0.09799
421,79,0
421,80,0.0161
855,79,0
855,80,0.21818
831,79,0
831,80,0.3
854,79,0
854,80,0.50909
567,79,0
567,80,0.37532
568,79,0
568,80,0.57815
554,79,0
554,80,0.6
554,110,0.9
554,120,0.9
554,130,1
501,79,0
501,80,0.572
498,79,0
498,80,0.3656
420,79,0
420,80,0.19598
419,79,0
419,80,0.001
830,79,0
830,80,0.6125
721,79,0
721,80,0.62222
525,79,0
525,80,0.682
705,79,0
705,80,0.825
423,79,0
423,80,0.68593
570,79,0
570,80,1
561,79,0
561,80,1
561,100,1
561,101,0
518,79,0
518,80,1.1
518,90,1.3
518,100,1.4
518,110,1.6
518,130,1.8
515,79,0
515,80,1.2
515,100,1.6
515,110,1.7
515,120,1.9
515,130,2
491,79,0
491,80,1.2
491,90,1.3
491,100,1.5
491,120,1.7
491,130,1.9
513,79,0
513,80,5.5
513,90,6.3
513,110,7.7
513,130,8.9
519,79,0
519,80,1.4
519,90,1.6
519,100,1.7
519,110,1.9
519,120,2
519,130,2.2
492,79,0
492,80,1.4
492,100,1.8
492,110,1.9
492,120,2.1
492,130,2.2
488,79,0
488,80,1.3
488,90,1.5
488,100,1.6
488,110,1.8
488,130,2
844,79,0
844,80,8.3
844,90,9.5
844,100,10.5
494,79,0
494,80,5.8
494,100,7.4
494,110,8.1
494,130,9.3
520,79,0
520,80,5.7
520,90,6.5
520,110,7.9
520,120,8.5
520,130,9
486,79,0
486,80,5.7
486,90,6.5
486,110,7.9
486,130,9.1
425,79,0
425,80,1
416,79,0
416,80,1
416,100,1
416,101,0
559,79,0
559,80,0.9
559,90,1.1
559,140,1.6
413,79,0
413,80,0.9
413,90,1
413,100,1.2
413,130,1.5
821,79,0
821,80,11.5
821,100,14.5
556,79,0
556,80,9.9
556,90,11.3
556,100,12.6
556,110,13.8
556,120,14.9
556,130,15.9
556,140,16.8
555,79,0
555,80,15.7
555,90,17.9
555,100,20
555,110,21.9
555,120,23.6
555,130,25.2
555,140,26.7
846,79,0
846,80,41.7
846,90,47.3
846,100,52.7
716,79,0
716,80,44.8
716,90,51.1
716,100,57.1
716,110,62.4
716,120,67.3
716,130,71.9
716,140,76.1
714,79,0
714,80,56
714,90,63.9
714,100,71.4
714,110,78
714,120,84.2
714,130,89.8
714,140,95.1
700,79,0
700,80,25.2
700,90,28.7
700,100,32.1
700,110,35.1
700,120,37.9
700,130,40.4
700,140,42.8
822,79,0
822,80,57.4
822,90,65.1
822,100,72.5
516,79,0
516,80,56.6
516,90,64.6
516,100,71.9
516,110,78.6
516,120,84.8
516,130,90.5
489,79,0
489,80,20.9
489,90,23.9
489,100,26.6
489,110,29
489,120,31.3
489,130,33.4
847,79,0
847,80,66.7
847,90,75.7
847,100,84.4
715,79,0
715,80,89.6
715,90,102.2
715,100,114.2
715,110,124.8
715,120,134.6
715,130,143.7
715,140,152.2
699,79,0
699,80,63
699,90,71.9
699,100,80.3
699,110,87.7
699,120,94.7
699,130,101.1
699,140,107
514,79,0
514,80,113.3
514,90,129.3
514,100,143.8
514,110,157.2
514,120,169.7
514,130,180.9
411,79,0
411,80,59.2
411,90,67.4
411,100,75.3
411,110,82.4
411,120,88.9
411,130,94.9
411,140,100.4
410,79,0
410,80,9.7
410,90,11.1
410,100,12.4
410,120,14.6
410,130,15.6
410,140,16.5
849,79,0
849,80,200.2
849,90,227.1
849,100,253.1
845,79,0
845,80,133.5
845,90,151.4
845,100,168.7
824,79,0
824,80,275.3
824,90,312.3
824,100,348
717,79,0
717,80,313.8
717,90,357.7
717,100,399.5
717,110,436.6
717,120,471.3
717,130,503.1
717,140,532.5
557,79,0
557,80,226.6
557,90,258.3
557,100,288.6
557,110,315.4
557,120,340.4
557,130,363.3
557,140,384.7
558,79,0
558,80,349.2
558,90,397.9
558,100,444.5
558,110,485.8
558,120,524.3
558,130,559.7
558,140,592.5
517,79,0
517,80,396.4
517,90,452.4
517,100,503.3
517,110,549.9
517,120,593.8
517,130,633.3
490,79,0
490,80,332.4
490,90,379.5
490,100,422
490,110,461.3
490,120,498.2
490,130,531.2
487,79,0
487,80,212.5
487,90,242.5
487,100,269.8
487,110,294.9
487,120,318.3
487,130,339.5
848,79,0
848,80,467.4
848,90,530.1
848,100,590.5
823,79,0
823,80,562.1
823,90,637.7
823,100,710.4
702,79,0
702,80,504.2
702,90,574.9
702,100,642.2
702,110,701.8
702,120,757.4
702,130,808.5
702,140,855.9
701,79,0
701,80,416
701,90,474.3
701,100,529.8
701,110,579
701,120,624.8
701,130,667
701,140,706.1
493,79,0
493,80,581.2
493,90,663.4
493,100,737.9
493,110,806.5
493,120,870.7
493,130,928.6
825,79,0
825,80,917.8
825,90,1041.1
825,100,1159.9
827,79,0
827,101,0
827,102,1
496,79,0
496,130,0
496,131,1
563,79,0
